Path ID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	ArcsID
1	AGADIR	10	ALEXANDRIA	41	31	ROTTERDAM	6	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	3,4,581,396,397,398
2	AGADIR	10	ALEXANDRIA	41	31	ANTWERP	3	7	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,HAMBURG,ANTWERP,LE HAVRE,ALEXANDRIA	7	3,4,5,6,589,397,398
3	AGADIR	10	ALEXANDRIA	48	38	ROTTERDAM	13	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	3,4,582,408,409,410
4	AGADIR	10	ALEXANDRIA	48	38	ANTWERP	10	7	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,HAMBURG,ANTWERP,LE HAVRE,ALEXANDRIA	7	3,4,5,6,590,409,410
5	AGADIR	17	ALEXANDRIA	48	31	ROTTERDAM	6	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	13,14,598,408,409,410
6	AGADIR	17	ALEXANDRIA	55	38	ROTTERDAM	13	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	13,14,599,420,421,422
7	AGADIR	24	ALEXANDRIA	55	31	ROTTERDAM	6	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	23,24,616,420,421,422
8	AGADIR	24	ALEXANDRIA	62	38	ROTTERDAM	13	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	23,24,617,432,433,434
9	AGADIR	31	ALEXANDRIA	62	31	ROTTERDAM	6	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	33,34,635,432,433,434
10	AGADIR	31	ALEXANDRIA	69	38	ROTTERDAM	13	6	AGADIR,LONDON GATEWAY PORT(ESS),ROTTERDAM,ANTWERP,LE HAVRE,ALEXANDRIA	6	33,34,636,443,444,445
