TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
579	ROTTERDAM	5	18	1	207	19	1	2
580	ROTTERDAM	5	18	8	217	26	1	2
581	ROTTERDAM	5	18	6	405	24	1	3
582	ROTTERDAM	5	18	13	417	31	1	3
583	HAMBURG	6	19	5	216	24	1	2
584	HAMBURG	6	19	12	226	31	1	2
585	HAMBURG	6	19	3	404	22	1	3
586	HAMBURG	6	19	10	416	29	1	3
587	ANTWERP	7	22	0	215	22	1	2
588	ANTWERP	7	22	7	225	29	1	2
589	ANTWERP	7	22	3	406	25	1	3
590	ANTWERP	7	22	10	418	32	1	3
591	LE HAVRE	8	24	3	407	27	1	3
592	LE HAVRE	8	24	10	419	34	1	3
593	TANGER MED	10	34	3	202	37	1	2
594	TANGER MED	10	34	10	212	44	1	2
595	TANGER MED	10	34	10	389	44	1	3
596	ROTTERDAM	15	25	1	217	26	1	2
597	ROTTERDAM	15	25	8	227	33	1	2
598	ROTTERDAM	15	25	6	417	31	1	3
599	ROTTERDAM	15	25	13	429	38	1	3
600	HAMBURG	16	26	5	226	31	1	2
601	HAMBURG	16	26	12	236	38	1	2
602	HAMBURG	16	26	3	416	29	1	3
603	HAMBURG	16	26	10	428	36	1	3
604	ANTWERP	17	29	0	225	29	1	2
605	ANTWERP	17	29	7	235	36	1	2
606	ANTWERP	17	29	3	418	32	1	3
607	ANTWERP	17	29	10	430	39	1	3
608	LE HAVRE	18	31	3	419	34	1	3
609	LE HAVRE	18	31	10	431	41	1	3
610	TANGER MED	20	41	3	212	44	1	2
611	TANGER MED	20	41	10	222	51	1	2
612	TANGER MED	20	41	3	389	44	1	3
613	TANGER MED	20	41	10	401	51	1	3
614	ROTTERDAM	25	32	1	227	33	1	2
615	ROTTERDAM	25	32	8	237	40	1	2
616	ROTTERDAM	25	32	6	429	38	1	3
617	ROTTERDAM	25	32	13	441	45	1	3
618	HAMBURG	26	33	5	236	38	1	2
619	HAMBURG	26	33	12	245	45	1	2
620	HAMBURG	26	33	3	428	36	1	3
621	HAMBURG	26	33	10	440	43	1	3
622	ANTWERP	27	36	0	235	36	1	2
623	ANTWERP	27	36	7	244	43	1	2
624	ANTWERP	27	36	3	430	39	1	3
625	ANTWERP	27	36	10	442	46	1	3
626	LE HAVRE	28	38	3	431	41	1	3
627	LE HAVRE	28	38	10	443	48	1	3
628	TANGER MED	30	48	3	222	51	1	2
629	TANGER MED	30	48	10	232	58	1	2
630	TANGER MED	30	48	3	401	51	1	3
631	TANGER MED	30	48	10	413	58	1	3
632	TANGER MED	31	27	10	202	37	1	2
633	ROTTERDAM	35	39	1	237	40	1	2
634	ROTTERDAM	35	39	8	246	47	1	2
635	ROTTERDAM	35	39	6	441	45	1	3
636	ROTTERDAM	35	39	13	452	52	1	3
637	HAMBURG	36	40	5	245	45	1	2
638	HAMBURG	36	40	12	254	52	1	2
639	HAMBURG	36	40	3	440	43	1	3
640	HAMBURG	36	40	10	451	50	1	3
641	ANTWERP	37	43	0	244	43	1	2
642	ANTWERP	37	43	7	253	50	1	2
643	ANTWERP	37	43	3	442	46	1	3
644	ANTWERP	37	43	10	453	53	1	3
645	LE HAVRE	38	45	3	443	48	1	3
646	LE HAVRE	38	45	10	454	55	1	3
647	TANGER MED	40	55	3	232	58	1	2
648	TANGER MED	40	55	10	242	65	1	2
649	TANGER MED	40	55	3	413	58	1	3
650	TANGER MED	40	55	10	425	65	1	3
651	ROTTERDAM	44	46	1	246	47	1	2
652	ROTTERDAM	44	46	8	255	54	1	2
