TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	TANGER MED	1	6	2	2	2	CASABLANCA	8
2	1	2	2	CASABLANCA	1	8	2	3	3	AGADIR	10
3	1	3	3	AGADIR	1	10	6	4	4	LONDON GATEWAY PORT(ESS)	16
4	1	4	4	LONDON GATEWAY PORT(ESS)	1	16	2	5	5	ROTTERDAM	18
5	1	5	5	ROTTERDAM	1	18	1	6	6	HAMBURG	19
6	1	6	6	HAMBURG	1	19	3	7	7	ANTWERP	22
7	1	7	7	ANTWERP	1	22	2	8	8	LE HAVRE	24
8	1	8	8	LE HAVRE	1	24	6	9	9	VIGO	30
9	1	9	9	VIGO	1	30	4	10	10	TANGER MED	34
10	1	10	10	TANGER MED	1	34	2	41	2	CASABLANCA	36
11	1	11	1	TANGER MED	2	13	2	12	2	CASABLANCA	15
12	1	12	2	CASABLANCA	2	15	2	13	3	AGADIR	17
13	1	13	3	AGADIR	2	17	6	14	4	LONDON GATEWAY PORT(ESS)	23
14	1	14	4	LONDON GATEWAY PORT(ESS)	2	23	2	15	5	ROTTERDAM	25
15	1	15	5	ROTTERDAM	2	25	1	16	6	HAMBURG	26
16	1	16	6	HAMBURG	2	26	3	17	7	ANTWERP	29
17	1	17	7	ANTWERP	2	29	2	18	8	LE HAVRE	31
18	1	18	8	LE HAVRE	2	31	6	19	9	VIGO	37
19	1	19	9	VIGO	2	37	4	20	10	TANGER MED	41
20	1	20	10	TANGER MED	2	41	2	50	2	CASABLANCA	43
21	1	21	1	TANGER MED	3	20	2	22	2	CASABLANCA	22
22	1	22	2	CASABLANCA	3	22	2	23	3	AGADIR	24
23	1	23	3	AGADIR	3	24	6	24	4	LONDON GATEWAY PORT(ESS)	30
24	1	24	4	LONDON GATEWAY PORT(ESS)	3	30	2	25	5	ROTTERDAM	32
25	1	25	5	ROTTERDAM	3	32	1	26	6	HAMBURG	33
26	1	26	6	HAMBURG	3	33	3	27	7	ANTWERP	36
27	1	27	7	ANTWERP	3	36	2	28	8	LE HAVRE	38
28	1	28	8	LE HAVRE	3	38	6	29	9	VIGO	44
29	1	29	9	VIGO	3	44	4	30	10	TANGER MED	48
30	1	30	10	TANGER MED	3	48	2	59	2	CASABLANCA	50
31	1	31	1	TANGER MED	4	27	2	32	2	CASABLANCA	29
32	1	32	2	CASABLANCA	4	29	2	33	3	AGADIR	31
33	1	33	3	AGADIR	4	31	6	34	4	LONDON GATEWAY PORT(ESS)	37
34	1	34	4	LONDON GATEWAY PORT(ESS)	4	37	2	35	5	ROTTERDAM	39
35	1	35	5	ROTTERDAM	4	39	1	36	6	HAMBURG	40
36	1	36	6	HAMBURG	4	40	3	37	7	ANTWERP	43
37	1	37	7	ANTWERP	4	43	2	38	8	LE HAVRE	45
38	1	38	8	LE HAVRE	4	45	6	39	9	VIGO	51
39	1	39	9	VIGO	4	51	4	40	10	TANGER MED	55
40	1	40	10	TANGER MED	4	55	2	68	2	CASABLANCA	57
41	1	41	2	CASABLANCA	5	36	2	42	3	AGADIR	38
42	1	42	3	AGADIR	5	38	6	43	4	LONDON GATEWAY PORT(ESS)	44
43	1	43	4	LONDON GATEWAY PORT(ESS)	5	44	2	44	5	ROTTERDAM	46
44	1	44	5	ROTTERDAM	5	46	1	45	6	HAMBURG	47
45	1	45	6	HAMBURG	5	47	3	46	7	ANTWERP	50
46	1	46	7	ANTWERP	5	50	2	47	8	LE HAVRE	52
47	1	47	8	LE HAVRE	5	52	6	48	9	VIGO	58
48	1	48	9	VIGO	5	58	4	49	10	TANGER MED	62
49	1	49	10	TANGER MED	5	62	2	77	2	CASABLANCA	64
50	1	50	2	CASABLANCA	6	43	2	51	3	AGADIR	45
51	1	51	3	AGADIR	6	45	6	52	4	LONDON GATEWAY PORT(ESS)	51
52	1	52	4	LONDON GATEWAY PORT(ESS)	6	51	2	53	5	ROTTERDAM	53
53	1	53	5	ROTTERDAM	6	53	1	54	6	HAMBURG	54
54	1	54	6	HAMBURG	6	54	3	55	7	ANTWERP	57
55	1	55	7	ANTWERP	6	57	2	56	8	LE HAVRE	59
56	1	56	8	LE HAVRE	6	59	6	57	9	VIGO	65
57	1	57	9	VIGO	6	65	4	58	10	TANGER MED	69
58	1	58	10	TANGER MED	6	69	2	86	2	CASABLANCA	71
59	1	59	2	CASABLANCA	7	50	2	60	3	AGADIR	52
60	1	60	3	AGADIR	7	52	6	61	4	LONDON GATEWAY PORT(ESS)	58
61	1	61	4	LONDON GATEWAY PORT(ESS)	7	58	2	62	5	ROTTERDAM	60
62	1	62	5	ROTTERDAM	7	60	1	63	6	HAMBURG	61
63	1	63	6	HAMBURG	7	61	3	64	7	ANTWERP	64
64	1	64	7	ANTWERP	7	64	2	65	8	LE HAVRE	66
65	1	65	8	LE HAVRE	7	66	6	66	9	VIGO	72
66	1	66	9	VIGO	7	72	4	67	10	TANGER MED	76
67	1	67	10	TANGER MED	7	76	2	95	2	CASABLANCA	78
68	1	68	2	CASABLANCA	8	57	2	69	3	AGADIR	59
69	1	69	3	AGADIR	8	59	6	70	4	LONDON GATEWAY PORT(ESS)	65
70	1	70	4	LONDON GATEWAY PORT(ESS)	8	65	2	71	5	ROTTERDAM	67
71	1	71	5	ROTTERDAM	8	67	1	72	6	HAMBURG	68
72	1	72	6	HAMBURG	8	68	3	73	7	ANTWERP	71
73	1	73	7	ANTWERP	8	71	2	74	8	LE HAVRE	73
74	1	74	8	LE HAVRE	8	73	6	75	9	VIGO	79
75	1	75	9	VIGO	8	79	4	76	10	TANGER MED	83
76	1	76	10	TANGER MED	8	83	2	104	2	CASABLANCA	85
77	1	77	2	CASABLANCA	9	64	2	78	3	AGADIR	66
78	1	78	3	AGADIR	9	66	6	79	4	LONDON GATEWAY PORT(ESS)	72
79	1	79	4	LONDON GATEWAY PORT(ESS)	9	72	2	80	5	ROTTERDAM	74
80	1	80	5	ROTTERDAM	9	74	1	81	6	HAMBURG	75
81	1	81	6	HAMBURG	9	75	3	82	7	ANTWERP	78
82	1	82	7	ANTWERP	9	78	2	83	8	LE HAVRE	80
83	1	83	8	LE HAVRE	9	80	6	84	9	VIGO	86
84	1	84	9	VIGO	9	86	4	85	10	TANGER MED	90
85	1	85	10	TANGER MED	9	90	2	113	2	CASABLANCA	92
86	1	86	2	CASABLANCA	10	71	2	87	3	AGADIR	73
87	1	87	3	AGADIR	10	73	6	88	4	LONDON GATEWAY PORT(ESS)	79
88	1	88	4	LONDON GATEWAY PORT(ESS)	10	79	2	89	5	ROTTERDAM	81
89	1	89	5	ROTTERDAM	10	81	1	90	6	HAMBURG	82
90	1	90	6	HAMBURG	10	82	3	91	7	ANTWERP	85
91	1	91	7	ANTWERP	10	85	2	92	8	LE HAVRE	87
92	1	92	8	LE HAVRE	10	87	6	93	9	VIGO	93
93	1	93	9	VIGO	10	93	4	94	10	TANGER MED	97
94	1	94	10	TANGER MED	10	97	2	122	2	CASABLANCA	99
95	1	95	2	CASABLANCA	11	78	2	96	3	AGADIR	80
96	1	96	3	AGADIR	11	80	6	97	4	LONDON GATEWAY PORT(ESS)	86
97	1	97	4	LONDON GATEWAY PORT(ESS)	11	86	2	98	5	ROTTERDAM	88
98	1	98	5	ROTTERDAM	11	88	1	99	6	HAMBURG	89
99	1	99	6	HAMBURG	11	89	3	100	7	ANTWERP	92
100	1	100	7	ANTWERP	11	92	2	101	8	LE HAVRE	94
101	1	101	8	LE HAVRE	11	94	6	102	9	VIGO	100
102	1	102	9	VIGO	11	100	4	103	10	TANGER MED	104
103	1	103	10	TANGER MED	11	104	2	131	2	CASABLANCA	106
104	1	104	2	CASABLANCA	12	85	2	105	3	AGADIR	87
