ID	Route	Call	Port	Round_trip	Time
1	1	1	TANGER MED	1	6
2	1	2	CASABLANCA	1	8
3	1	3	AGADIR	1	10
4	1	4	LONDON GATEWAY PORT(ESS)	1	16
5	1	5	ROTTERDAM	1	18
6	1	6	HAMBURG	1	19
7	1	7	ANTWERP	1	22
8	1	8	LE HAVRE	1	24
9	1	9	VIGO	1	30
10	1	10	TANGER MED	1	34
11	1	1	TANGER MED	2	13
12	1	2	CASABLANCA	2	15
13	1	3	AGADIR	2	17
14	1	4	LONDON GATEWAY PORT(ESS)	2	23
15	1	5	ROTTERDAM	2	25
16	1	6	HAMBURG	2	26
17	1	7	ANTWERP	2	29
18	1	8	LE HAVRE	2	31
19	1	9	VIGO	2	37
20	1	10	TANGER MED	2	41
21	1	1	TANGER MED	3	20
22	1	2	CASABLANCA	3	22
23	1	3	AGADIR	3	24
24	1	4	LONDON GATEWAY PORT(ESS)	3	30
25	1	5	ROTTERDAM	3	32
26	1	6	HAMBURG	3	33
27	1	7	ANTWERP	3	36
28	1	8	LE HAVRE	3	38
29	1	9	VIGO	3	44
30	1	10	TANGER MED	3	48
31	1	1	TANGER MED	4	27
32	1	2	CASABLANCA	4	29
33	1	3	AGADIR	4	31
34	1	4	LONDON GATEWAY PORT(ESS)	4	37
35	1	5	ROTTERDAM	4	39
36	1	6	HAMBURG	4	40
37	1	7	ANTWERP	4	43
38	1	8	LE HAVRE	4	45
39	1	9	VIGO	4	51
40	1	10	TANGER MED	4	55
41	1	2	CASABLANCA	5	36
42	1	3	AGADIR	5	38
43	1	4	LONDON GATEWAY PORT(ESS)	5	44
44	1	5	ROTTERDAM	5	46
45	1	6	HAMBURG	5	47
46	1	7	ANTWERP	5	50
47	1	8	LE HAVRE	5	52
48	1	9	VIGO	5	58
49	1	10	TANGER MED	5	62
50	1	2	CASABLANCA	6	43
51	1	3	AGADIR	6	45
52	1	4	LONDON GATEWAY PORT(ESS)	6	51
53	1	5	ROTTERDAM	6	53
54	1	6	HAMBURG	6	54
55	1	7	ANTWERP	6	57
56	1	8	LE HAVRE	6	59
57	1	9	VIGO	6	65
58	1	10	TANGER MED	6	69
59	1	2	CASABLANCA	7	50
60	1	3	AGADIR	7	52
61	1	4	LONDON GATEWAY PORT(ESS)	7	58
62	1	5	ROTTERDAM	7	60
63	1	6	HAMBURG	7	61
64	1	7	ANTWERP	7	64
65	1	8	LE HAVRE	7	66
66	1	9	VIGO	7	72
67	1	10	TANGER MED	7	76
68	1	2	CASABLANCA	8	57
69	1	3	AGADIR	8	59
70	1	4	LONDON GATEWAY PORT(ESS)	8	65
71	1	5	ROTTERDAM	8	67
72	1	6	HAMBURG	8	68
73	1	7	ANTWERP	8	71
74	1	8	LE HAVRE	8	73
75	1	9	VIGO	8	79
76	1	10	TANGER MED	8	83
77	1	2	CASABLANCA	9	64
78	1	3	AGADIR	9	66
79	1	4	LONDON GATEWAY PORT(ESS)	9	72
80	1	5	ROTTERDAM	9	74
81	1	6	HAMBURG	9	75
82	1	7	ANTWERP	9	78
83	1	8	LE HAVRE	9	80
84	1	9	VIGO	9	86
85	1	10	TANGER MED	9	90
86	1	2	CASABLANCA	10	71
87	1	3	AGADIR	10	73
88	1	4	LONDON GATEWAY PORT(ESS)	10	79
89	1	5	ROTTERDAM	10	81
90	1	6	HAMBURG	10	82
91	1	7	ANTWERP	10	85
92	1	8	LE HAVRE	10	87
93	1	9	VIGO	10	93
94	1	10	TANGER MED	10	97
95	1	2	CASABLANCA	11	78
96	1	3	AGADIR	11	80
97	1	4	LONDON GATEWAY PORT(ESS)	11	86
98	1	5	ROTTERDAM	11	88
99	1	6	HAMBURG	11	89
100	1	7	ANTWERP	11	92
101	1	8	LE HAVRE	11	94
102	1	9	VIGO	11	100
103	1	10	TANGER MED	11	104
104	1	2	CASABLANCA	12	85
105	1	3	AGADIR	12	87
106	1	4	LONDON GATEWAY PORT(ESS)	12	93
107	1	5	ROTTERDAM	12	95
108	1	6	HAMBURG	12	96
109	1	7	ANTWERP	12	99
110	1	8	LE HAVRE	12	101
111	1	9	VIGO	12	107
112	1	10	TANGER MED	12	111
113	1	2	CASABLANCA	13	92
114	1	3	AGADIR	13	94
115	1	4	LONDON GATEWAY PORT(ESS)	13	100
116	1	5	ROTTERDAM	13	102
117	1	6	HAMBURG	13	103
118	1	7	ANTWERP	13	106
119	1	8	LE HAVRE	13	108
120	1	9	VIGO	13	114
121	1	10	TANGER MED	13	118
122	1	2	CASABLANCA	14	99
123	1	3	AGADIR	14	101
124	1	4	LONDON GATEWAY PORT(ESS)	14	107
125	1	5	ROTTERDAM	14	109
126	1	6	HAMBURG	14	110
127	1	7	ANTWERP	14	113
128	1	8	LE HAVRE	14	115
129	1	9	VIGO	14	121
130	1	10	TANGER MED	14	125
131	1	2	CASABLANCA	15	106
132	1	3	AGADIR	15	108
133	1	4	LONDON GATEWAY PORT(ESS)	15	114
134	1	5	ROTTERDAM	15	116
135	1	6	HAMBURG	15	117
136	1	7	ANTWERP	15	120
137	1	8	LE HAVRE	15	122
138	1	9	VIGO	15	128
139	1	10	TANGER MED	15	132
140	1	2	CASABLANCA	16	113
141	1	3	AGADIR	16	115
142	1	4	LONDON GATEWAY PORT(ESS)	16	121
143	1	5	ROTTERDAM	16	123
144	1	6	HAMBURG	16	124
145	1	7	ANTWERP	16	127
146	1	8	LE HAVRE	16	129
147	1	9	VIGO	16	135
148	1	10	TANGER MED	16	139
149	1	2	CASABLANCA	17	120
150	1	3	AGADIR	17	122
151	1	4	LONDON GATEWAY PORT(ESS)	17	128
152	1	5	ROTTERDAM	17	130
153	1	6	HAMBURG	17	131
154	1	7	ANTWERP	17	134
155	1	8	LE HAVRE	17	136
156	1	9	VIGO	17	142
157	1	10	TANGER MED	17	146
158	1	2	CASABLANCA	18	127
