	VesselID	Vessel	Capacity	RouteID	OperationCost	MaxNum
0	1	CMA CGM SURABAYA	1577	1	3.453	1
1	2	M WILMINGTON	1577	1	3.453	1
2	3	QUEEN ESTHER	2194	1	3.607	1
3	4	CMA CGM ARICA	1284	2	3.379	1
4	5	CMA CGM CALLAO	1284	2	3.379	1
5	6	CORONA J	1209	2	3.361	1
6	7	CONTSHIP PAX	1114	3	3.337	1
7	8	HAMBURG TRADER	1118	3	3.338	1
8	9	TAMPA TRADER	1103	3	3.334	1
9	10	BALLENITA	2546	4	7.695	1
10	11	BOMAR PRAIA	3534	4	7.942	1
11	12	CMA CGM PUERTO ANTIOQUIA	2556	4	7.697	1
12	13	CMA CGM BEIRA	2572	4	7.701	1
13	14	CMA CGM MALTA	2556	4	7.697	1
14	15	DIMITRIS C	3430	4	7.916	1
15	16	MAERSK NEWHAVEN	2556	5	5.697	1
16	17	MAERSK NEWCASTLE	2556	5	5.697	1
17	18	MAERSK NORTHAMPTON	2556	5	5.697	1
18	19	MAERSK NORTHWOOD	2532	5	5.691	1
19	20	SEALAND PHILADELPHIA	2546	5	5.695	1
20	21	SEALAND BALBOA	2546	6	3.695	1
21	22	SEALAND LOS ANGELES	2546	6	3.695	1
22	23	SEALAND MANZANILLO	2546	6	3.695	1
23	24	DEL MONTE HARVESTER	1200	7	3.358	1
24	25	DEL MONTE PRIDE	1200	7	3.358	1
25	26	DEL MONTE VALIANT	1200	7	3.358	1
26	27	MOL EXPERIENCE	4000	8	12.058	1
27	28	NYK NEBULA	4900	8	12.283	1
28	29	NYK CONSTELLATION	4888	8	12.28	1
29	30	NYK DENEB	4888	8	12.28	1
30	31	NYK DEMETER	4888	8	12.28	1
31	32	NYK DELPHINUS	4888	8	12.28	1
32	33	NYK METEOR	4888	8	12.28	1
33	34	NYK REMUS	4888	8	12.28	1
34	35	NYK RIGEL	4888	8	12.28	1
35	36	NYK RUMINA	4888	8	12.28	1
36	37	NYK ROMULUS	4888	8	12.28	1
0	1	DUBAI EXPRESS	4259	1	4.152	1
1	2	MAERSK KENTUCKY	4658	1	4.252	1
2	3	POLAR ECUADOR	3947	1	4.074	1
0	1	APL SOUTHAMPTON	10642	1	11.715	1
1	2	CMA CGM BUTTERFLY	9953	1	11.543	1
2	3	CMA CGM IVANHOE	9953	1	11.543	1
3	4	ATHENIAN	9954	1	11.543	1
4	5	EXPRESS ATHENS	10020	1	11.56	1
5	6	EXPRESS ROME	10114	1	11.583	1
