RequestID	OriginPort	OriginTime	DestinationPort	RoundTrip	W_i_Earlist	ArrivalTime_to_Destination	PathTime	TransshipPort	TransshipTime	Port_Path	PathID	ArcIDs
1	A	2	B	1	1	3	1	0	0	1	A,B	1
1	A	9	B	1	1	10	1	0	0	2	A,B	9
2	A	9	B	2	8	10	1	0	0	2	A,B	9
2	A	16	B	2	8	17	1	0	0	3	A,B	17
3	A	16	B	3	15	17	1	0	0	3	A,B	17
3	A	23	B	3	15	24	1	0	0	4	A,B	8
4	A	23	B	4	22	24	1	0	0	4	A,B	8
4	A	30	B	4	22	31	1	0	0	5	A,B	16
5	A	30	B	5	29	31	1	0	0	5	A,B	16
5	A	37	B	5	29	38	1	0	0	6	A,B	24
6	A	37	B	6	36	38	1	0	0	6	A,B	24
6	A	44	B	6	36	45	1	0	0	7	A,B	31
7	A	44	B	7	43	45	1	0	0	7	A,B	31
7	A	51	B	7	43	52	1	0	0	8	A,B	38
8	A	51	B	8	50	52	1	0	0	8	A,B	38
8	A	58	B	8	50	59	1	0	0	9	A,B	45
9	A	58	B	9	57	59	1	0	0	9	A,B	45
9	A	65	B	9	57	66	1	0	0	10	A,B	52
10	A	65	B	10	64	66	1	0	0	10	A,B	52
10	A	72	B	10	64	73	1	0	0	11	A,B	59
11	A	72	B	11	71	73	1	0	0	11	A,B	59
11	A	79	B	11	71	80	1	0	0	12	A,B	66
12	A	79	B	12	78	80	1	0	0	12	A,B	66
12	A	86	B	12	78	87	1	0	0	13	A,B	73
13	A	86	B	13	85	87	1	0	0	13	A,B	73
13	A	93	B	13	85	94	1	0	0	14	A,B	80
14	A	93	B	14	92	94	1	0	0	14	A,B	80
14	A	100	B	14	92	101	1	0	0	15	A,B	87
15	A	100	B	15	99	101	1	0	0	15	A,B	87
15	A	107	B	15	99	108	1	0	0	16	A,B	94
16	A	107	B	16	106	108	1	0	0	16	A,B	94
16	A	114	B	16	106	115	1	0	0	17	A,B	101
17	A	114	B	17	113	115	1	0	0	17	A,B	101
17	A	121	B	17	113	122	1	0	0	18	A,B	108
18	A	121	B	18	120	122	1	0	0	18	A,B	108
18	A	128	B	18	120	129	1	0	0	19	A,B	115
19	A	128	B	19	127	129	1	0	0	19	A,B	115
19	A	135	B	19	127	136	1	0	0	20	A,B	122
20	A	135	B	20	134	136	1	0	0	20	A,B	122
20	A	142	B	20	134	143	1	0	0	21	A,B	129
21	A	142	B	21	141	143	1	0	0	21	A,B	129
21	A	149	B	21	141	150	1	0	0	22	A,B	136
22	A	149	B	22	148	150	1	0	0	22	A,B	136
22	A	156	B	22	148	157	1	0	0	23	A,B	143
23	A	156	B	23	155	157	1	0	0	23	A,B	143
27	A	2	C	1	1	4	2	0	0	24	A,B,C	1,2
27	A	9	C	1	1	11	2	0	0	25	A,B,C	9,10
28	A	9	C	2	8	11	2	0	0	25	A,B,C	9,10
28	A	16	C	2	8	18	2	0	0	26	A,B,C	17,18
29	A	16	C	3	15	18	2	0	0	26	A,B,C	17,18
29	A	23	C	3	15	25	2	0	0	27	A,B,C	8,25
30	A	23	C	4	22	25	2	0	0	27	A,B,C	8,25
30	A	30	C	4	22	32	2	0	0	28	A,B,C	16,32
31	A	30	C	5	29	32	2	0	0	28	A,B,C	16,32
31	A	37	C	5	29	39	2	0	0	29	A,B,C	24,39
32	A	37	C	6	36	39	2	0	0	29	A,B,C	24,39
32	A	44	C	6	36	46	2	0	0	30	A,B,C	31,46
33	A	44	C	7	43	46	2	0	0	30	A,B,C	31,46
33	A	51	C	7	43	53	2	0	0	31	A,B,C	38,53
34	A	51	C	8	50	53	2	0	0	31	A,B,C	38,53
34	A	58	C	8	50	60	2	0	0	32	A,B,C	45,60
35	A	58	C	9	57	60	2	0	0	32	A,B,C	45,60
35	A	65	C	9	57	67	2	0	0	33	A,B,C	52,67
36	A	65	C	10	64	67	2	0	0	33	A,B,C	52,67
36	A	72	C	10	64	74	2	0	0	34	A,B,C	59,74
37	A	72	C	11	71	74	2	0	0	34	A,B,C	59,74
37	A	79	C	11	71	81	2	0	0	35	A,B,C	66,81
38	A	79	C	12	78	81	2	0	0	35	A,B,C	66,81
38	A	86	C	12	78	88	2	0	0	36	A,B,C	73,88
39	A	86	C	13	85	88	2	0	0	36	A,B,C	73,88
39	A	93	C	13	85	95	2	0	0	37	A,B,C	80,95
40	A	93	C	14	92	95	2	0	0	37	A,B,C	80,95
40	A	100	C	14	92	102	2	0	0	38	A,B,C	87,102
41	A	100	C	15	99	102	2	0	0	38	A,B,C	87,102
41	A	107	C	15	99	109	2	0	0	39	A,B,C	94,109
42	A	107	C	16	106	109	2	0	0	39	A,B,C	94,109
42	A	114	C	16	106	116	2	0	0	40	A,B,C	101,116
43	A	114	C	17	113	116	2	0	0	40	A,B,C	101,116
43	A	121	C	17	113	123	2	0	0	41	A,B,C	108,123
44	A	121	C	18	120	123	2	0	0	41	A,B,C	108,123
44	A	128	C	18	120	130	2	0	0	42	A,B,C	115,130
45	A	128	C	19	127	130	2	0	0	42	A,B,C	115,130
45	A	135	C	19	127	137	2	0	0	43	A,B,C	122,137
46	A	135	C	20	134	137	2	0	0	43	A,B,C	122,137
46	A	142	C	20	134	144	2	0	0	44	A,B,C	129,144
47	A	142	C	21	141	144	2	0	0	44	A,B,C	129,144
47	A	149	C	21	141	151	2	0	0	45	A,B,C	136,150
48	A	149	C	22	148	151	2	0	0	45	A,B,C	136,150
48	A	156	C	22	148	158	2	0	0	46	A,B,C	143,156
49	A	156	C	23	155	158	2	0	0	46	A,B,C	143,156
53	A	2	D	1	1	10	8	0	0	47	A,B,C,D	1,2,3
53	A	9	D	1	1	17	8	0	0	48	A,B,C,D	9,10,11
54	A	9	D	2	8	17	8	0	0	48	A,B,C,D	9,10,11
54	A	16	D	2	8	24	8	0	0	49	A,B,C,D	17,18,19
55	A	16	D	3	15	24	8	0	0	49	A,B,C,D	17,18,19
55	A	23	D	3	15	31	8	0	0	50	A,B,C,D	8,25,26
56	A	23	D	4	22	31	8	0	0	50	A,B,C,D	8,25,26
56	A	30	D	4	22	38	8	0	0	51	A,B,C,D	16,32,33
57	A	30	D	5	29	38	8	0	0	51	A,B,C,D	16,32,33
57	A	37	D	5	29	45	8	0	0	52	A,B,C,D	24,39,40
58	A	37	D	6	36	45	8	0	0	52	A,B,C,D	24,39,40
58	A	44	D	6	36	52	8	0	0	53	A,B,C,D	31,46,47
59	A	44	D	7	43	52	8	0	0	53	A,B,C,D	31,46,47
59	A	51	D	7	43	59	8	0	0	54	A,B,C,D	38,53,54
60	A	51	D	8	50	59	8	0	0	54	A,B,C,D	38,53,54
60	A	58	D	8	50	66	8	0	0	55	A,B,C,D	45,60,61
61	A	58	D	9	57	66	8	0	0	55	A,B,C,D	45,60,61
