OriginRegion	DestinationRegion	DemandLowerBound	DemandUpperBound	FreightLowerBound	FreightUpperBound
1	2	600	800	2500	3000
2	1	300	500	1000	1500
1	3	500	700	3000	3500
3	1	200	400	700	1200
1	4	200	400	5000	5500
4	1	100	200	300	400
1	5	50	100	5500	6000
5	1	30	50	500	1500
2	3	300	500	4000	5000
3	2	100	200	3200	4200
2	4	200	400	500	1000
4	2	300	500	7000	7500
2	5	50	100	2000	3000
5	2	100	200	7500	8500
3	4	100	200	5700	6700
4	3	300	500	3200	4200
3	5	30	50	2500	3000
5	3	50	100	3000	3500
4	5	200	400	1500	2000
5	4	200	400	500	1000
1	1	50	100	500	2500
2	2	30	50	500	1000
3	3	30	50	500	1000
4	4	50	100	500	1000
5	5	30	50	500	1000
