VesselID	Capacity	OperatingCost	RouteID	maxNum
1	5500	5.375	1	2
2	5750	5.4375	1	2
3	6000	5.5	1	2
4	6250	5.5625	1	2
5	6500	5.625	1	1
6	4500	4.125	2	2
7	4750	4.1875	2	2
8	5000	4.25	2	1
9	5250	4.3125	2	1
10	5500	4.375	2	2
11	11000	8.75	3	2
12	11250	8.8125	3	1
13	11500	8.875	3	1
14	11750	8.9375	3	1
15	12000	9	3	2
16	2500	1.625	4	2
17	3750	1.9375	4	1
18	3000	1.75	4	2
19	3250	1.8125	4	1
20	3500	1.875	4	2
21	13000	9.25	5	1
22	13250	9.3125	5	2
23	13500	9.375	5	2
24	13750	9.4375	5	2
25	14000	9.5	5	1
26	6500	3.625	6	2
27	6750	3.6875	6	2
28	7000	3.75	6	1
29	7250	3.8125	6	1
30	7500	3.875	6	2
31	10000	8.5	7	2
32	10250	8.5625	7	1
33	10500	8.625	7	2
34	10750	8.6875	7	1
35	11000	8.75	7	1
36	6500	6.625	8	1
37	6750	6.6875	8	2
38	7000	6.75	8	1
39	7250	6.8125	8	1
40	7500	6.875	8	1
