PortID	Port
1	Singapore
2	Brisbane
3	Sydney
4	Melbourne
5	Adelaide
6	Fremantle
7	Xiamen
8	Chiwan
9	HongKong
10	PortKlang
11	Salalah
12	Jeddah
13	Aqabah
14	Yokohama
15	Tokyo
16	Nagoya
17	Kobe
18	Shanghai
19	HoChiMinh
20	LaemChabang
21	Jakarta
22	Manila
23	Kaohsiung
24	Yantian
25	Dalian
26	Xingang
27	Qingdao
28	Ningbo
29	Kwangyang
30	Busan
31	Chittagong
32	Chennai
33	Colombo
34	Cochin
35	NhavaSheva
36	Sokhna
37	Karachi
38	JebelAli
39	Southampton
40	Thamesport
41	Hamburg
42	Bremerhaven
43	Rotterdam
44	Antwerp
45	ebrugge
46	LeHavre
