RouteID	NumPorts	Ports	NumCall	PortsofCall	ArrivalTime
1	6	Singapore,Brisbane,Sydney,Melbourne,Adelaide,Fremantle	7	Singapore,Brisbane,Sydney,Melbourne,Adelaide,Fremantle,Singapore	6,14,16,17,19,22,27
2	10	Xiamen,Chiwan,HongKong,Singapore,PortKlang,Salalah,Jeddah,Aqabah,Salalah,Singapore	11	Xiamen,Chiwan,HongKong,Singapore,PortKlang,Salalah,Jeddah,Aqabah,Salalah,Singapore,Xiamen	2,3,4,8,9,15,19,21,25,32,37
3	5	Yokohama,Tokyo,Nagoya,Kobe,Shanghai	6	Yokohama,Tokyo,Nagoya,Kobe,Shanghai,Yokohama	4,6,8,10,13,18
4	4	HoChiMinh,LaemChabang,Singapore,PortKlang	5	HoChiMinh,LaemChabang,Singapore,PortKlang,HoChiMinh	1,4,8,11,15
5	7	Brisbane,Sydney,Melbourne,Adelaide,Fremantle,Jakarta,Singapore	8	Brisbane,Sydney,Melbourne,Adelaide,Fremantle,Jakarta,Singapore,Brisbane	5,8,10,12,17,22,24,33
6	7	Manila,Kaohsiung,Xiamen,HongKong,Yantian,Chiwan,HongKong	8	Manila,Kaohsiung,Xiamen,HongKong,Yantian,Chiwan,HongKong,Manila	4,6,8,10,12,13,15,18
7	8	Dalian,Xingang,Qingdao,Shanghai,Ningbo,Shanghai,Kwangyang,Busan	9	Dalian,Xingang,Qingdao,Shanghai,Ningbo,Shanghai,Kwangyang,Busan,Dalian	2,3,5,7,9,10,12,13,16
8	8	Chittagong,Chennai,Colombo,Cochin,NhavaSheva,Cochin,Colombo,Chennai	9	Chittagong,Chennai,Colombo,Cochin,NhavaSheva,Cochin,Colombo,Chennai,Chittagong	5,8,11,13,16,18,20,23,26
9	7	Sokhna,Aqabah,Jeddah,Salalah,Karachi,JebelAli,Salalah	8	Sokhna,Aqabah,Jeddah,Salalah,Karachi,JebelAli,Salalah,Sokhna	6,8,10,14,17,19,22,27
10	8	Southampton,Thamesport,Hamburg,Bremerhaven,Rotterdam,Antwerp,ebrugge,LeHavre	9	Southampton,Thamesport,Hamburg,Bremerhaven,Rotterdam,Antwerp,ebrugge,LeHavre,Southampton	6,7,8,9,10,11,11,12,13
11	17	Southampton,Sokhna,Salalah,Colombo,Singapore,HongKong,Xiamen,Shanghai,Busan,Dalian,Xingang,Qingdao,Shanghai,HongKong,Singapore,Colombo,Salalah	18	Southampton,Sokhna,Salalah,Colombo,Singapore,HongKong,Xiamen,Shanghai,Busan,Dalian,Xingang,Qingdao,Shanghai,HongKong,Singapore,Colombo,Salalah,Southampton	2,8,12,15,18,21,22,24,25,27,27,29,30,32,35,38,41,51
