TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1924	Singapore	1	6	2	139	8	1	2
1925	Singapore	1	6	9	150	15	1	2
1926	Singapore	1	6	2	475	8	1	4
1927	Singapore	1	6	9	480	15	1	4
1928	Singapore	1	6	12	1632	18	1	11
1929	Brisbane	2	14	5	587	19	1	5
1930	Brisbane	2	14	12	595	26	1	5
1931	Sydney	3	16	6	588	22	1	5
1932	Sydney	3	16	13	596	29	1	5
1933	Melbourne	4	17	0	581	17	1	5
1934	Melbourne	4	17	7	589	24	1	5
1935	Adelaide	5	19	0	582	19	1	5
1936	Adelaide	5	19	7	590	26	1	5
1937	Fremantle	6	22	2	583	24	1	5
1938	Fremantle	6	22	9	591	31	1	5
1939	Singapore	7	27	5	145	32	1	2
1940	Singapore	7	27	12	156	39	1	2
1941	Singapore	7	27	2	172	29	1	2
1942	Singapore	7	27	9	183	36	1	2
1943	Singapore	7	27	2	488	29	1	4
1944	Singapore	7	27	9	492	36	1	4
1945	Singapore	7	27	4	585	31	1	5
1946	Singapore	7	27	11	593	38	1	5
1947	Singapore	7	27	8	1642	35	1	11
1948	Singapore	7	27	5	1668	32	1	11
1949	Singapore	7	27	12	1686	39	1	11
1950	Singapore	8	13	2	150	15	1	2
1951	Singapore	8	13	9	161	22	1	2
1952	Singapore	8	13	2	480	15	1	4
1953	Singapore	8	13	9	484	22	1	4
1954	Singapore	8	13	11	577	24	1	5
1955	Singapore	8	13	5	1632	18	1	11
1956	Singapore	8	13	12	1650	25	1	11
1957	Brisbane	9	21	12	578	33	1	5
1958	Brisbane	9	21	5	595	26	1	5
1959	Sydney	10	23	6	596	29	1	5
1960	Sydney	10	23	13	603	36	1	5
1961	Melbourne	11	24	0	589	24	1	5
1962	Melbourne	11	24	7	597	31	1	5
1963	Adelaide	12	26	0	590	26	1	5
1964	Adelaide	12	26	7	598	33	1	5
1965	Fremantle	13	29	2	591	31	1	5
1966	Fremantle	13	29	9	599	38	1	5
1967	Singapore	14	34	5	156	39	1	2
1968	Singapore	14	34	12	167	46	1	2
1969	Singapore	14	34	2	183	36	1	2
1970	Singapore	14	34	9	193	43	1	2
1971	Singapore	14	34	2	492	36	1	4
1972	Singapore	14	34	9	496	43	1	4
1973	Singapore	14	34	4	593	38	1	5
1974	Singapore	14	34	11	601	45	1	5
1975	Singapore	14	34	1	1642	35	1	11
1976	Singapore	14	34	8	1660	42	1	11
1977	Singapore	14	34	5	1686	39	1	11
1978	Singapore	14	34	12	1704	46	1	11
1979	Singapore	15	20	12	145	32	1	2
1980	Singapore	15	20	2	161	22	1	2
1981	Singapore	15	20	9	172	29	1	2
1982	Singapore	15	20	2	484	22	1	4
1983	Singapore	15	20	9	488	29	1	4
1984	Singapore	15	20	4	577	24	1	5
1985	Singapore	15	20	11	585	31	1	5
1986	Singapore	15	20	5	1650	25	1	11
1987	Singapore	15	20	12	1668	32	1	11
1988	Brisbane	16	28	5	578	33	1	5
1989	Brisbane	16	28	12	586	40	1	5
1990	Sydney	17	30	6	603	36	1	5
1991	Sydney	17	30	13	610	43	1	5
1992	Melbourne	18	31	0	597	31	1	5
1993	Melbourne	18	31	7	604	38	1	5
1994	Adelaide	19	33	0	598	33	1	5
1995	Adelaide	19	33	7	605	40	1	5
1996	Fremantle	20	36	2	599	38	1	5
1997	Fremantle	20	36	9	606	45	1	5
1998	Singapore	21	41	5	167	46	1	2
1999	Singapore	21	41	12	178	53	1	2
2000	Singapore	21	41	2	193	43	1	2
2001	Singapore	21	41	9	203	50	1	2
2002	Singapore	21	41	2	496	43	1	4
2003	Singapore	21	41	9	500	50	1	4
2004	Singapore	21	41	4	601	45	1	5
2005	Singapore	21	41	11	608	52	1	5
2006	Singapore	21	41	1	1660	42	1	11
2007	Singapore	21	41	8	1678	49	1	11
2008	Singapore	21	41	5	1704	46	1	11
2009	Singapore	21	41	12	1722	53	1	11
2010	Brisbane	22	35	5	586	40	1	5
2011	Brisbane	22	35	12	594	47	1	5
2012	Sydney	23	37	6	610	43	1	5
2013	Sydney	23	37	13	617	50	1	5
2014	Melbourne	24	38	0	604	38	1	5
2015	Melbourne	24	38	7	611	45	1	5
2016	Adelaide	25	40	0	605	40	1	5
2017	Adelaide	25	40	7	612	47	1	5
2018	Fremantle	26	43	2	606	45	1	5
2019	Fremantle	26	43	9	613	52	1	5
2020	Singapore	27	48	5	178	53	1	2
