ID	Route	Call	Port	Round_trip	Time
1	1	1	Singapore	1	6
2	1	2	Brisbane	1	14
3	1	3	Sydney	1	16
4	1	4	Melbourne	1	17
5	1	5	Adelaide	1	19
6	1	6	Fremantle	1	22
7	1	7	Singapore	1	27
8	1	1	Singapore	2	13
9	1	2	Brisbane	2	21
10	1	3	Sydney	2	23
11	1	4	Melbourne	2	24
12	1	5	Adelaide	2	26
13	1	6	Fremantle	2	29
14	1	7	Singapore	2	34
15	1	1	Singapore	3	20
16	1	2	Brisbane	3	28
17	1	3	Sydney	3	30
18	1	4	Melbourne	3	31
19	1	5	Adelaide	3	33
20	1	6	Fremantle	3	36
21	1	7	Singapore	3	41
22	1	2	Brisbane	4	35
23	1	3	Sydney	4	37
24	1	4	Melbourne	4	38
25	1	5	Adelaide	4	40
26	1	6	Fremantle	4	43
27	1	7	Singapore	4	48
28	1	2	Brisbane	5	42
29	1	3	Sydney	5	44
30	1	4	Melbourne	5	45
31	1	5	Adelaide	5	47
32	1	6	Fremantle	5	50
33	1	7	Singapore	5	55
34	1	2	Brisbane	6	49
35	1	3	Sydney	6	51
36	1	4	Melbourne	6	52
37	1	5	Adelaide	6	54
38	1	6	Fremantle	6	57
39	1	7	Singapore	6	62
40	1	2	Brisbane	7	56
41	1	3	Sydney	7	58
42	1	4	Melbourne	7	59
43	1	5	Adelaide	7	61
44	1	6	Fremantle	7	64
45	1	7	Singapore	7	69
46	1	2	Brisbane	8	63
47	1	3	Sydney	8	65
48	1	4	Melbourne	8	66
49	1	5	Adelaide	8	68
50	1	6	Fremantle	8	71
51	1	7	Singapore	8	76
52	1	2	Brisbane	9	70
53	1	3	Sydney	9	72
54	1	4	Melbourne	9	73
55	1	5	Adelaide	9	75
56	1	6	Fremantle	9	78
57	1	7	Singapore	9	83
58	1	2	Brisbane	10	77
59	1	3	Sydney	10	79
60	1	4	Melbourne	10	80
61	1	5	Adelaide	10	82
62	1	6	Fremantle	10	85
63	1	7	Singapore	10	90
64	1	2	Brisbane	11	84
65	1	3	Sydney	11	86
66	1	4	Melbourne	11	87
67	1	5	Adelaide	11	89
68	1	6	Fremantle	11	92
69	1	7	Singapore	11	97
70	1	2	Brisbane	12	91
71	1	3	Sydney	12	93
72	1	4	Melbourne	12	94
73	1	5	Adelaide	12	96
74	1	6	Fremantle	12	99
75	1	7	Singapore	12	104
76	1	2	Brisbane	13	98
77	1	3	Sydney	13	100
78	1	4	Melbourne	13	101
79	1	5	Adelaide	13	103
80	1	6	Fremantle	13	106
81	1	7	Singapore	13	111
82	1	2	Brisbane	14	105
83	1	3	Sydney	14	107
84	1	4	Melbourne	14	108
85	1	5	Adelaide	14	110
86	1	6	Fremantle	14	113
87	1	7	Singapore	14	118
88	1	2	Brisbane	15	112
89	1	3	Sydney	15	114
90	1	4	Melbourne	15	115
91	1	5	Adelaide	15	117
92	1	6	Fremantle	15	120
93	1	7	Singapore	15	125
94	1	2	Brisbane	16	119
95	1	3	Sydney	16	121
96	1	4	Melbourne	16	122
97	1	5	Adelaide	16	124
98	1	6	Fremantle	16	127
99	1	7	Singapore	16	132
100	1	2	Brisbane	17	126
101	1	3	Sydney	17	128
102	1	4	Melbourne	17	129
103	1	5	Adelaide	17	131
104	1	6	Fremantle	17	134
105	1	7	Singapore	17	139
106	1	2	Brisbane	18	133
107	1	3	Sydney	18	135
108	1	4	Melbourne	18	136
109	1	5	Adelaide	18	138
110	1	6	Fremantle	18	141
111	1	7	Singapore	18	146
112	1	2	Brisbane	19	140
113	1	3	Sydney	19	142
114	1	4	Melbourne	19	143
115	1	5	Adelaide	19	145
116	1	6	Fremantle	19	148
117	1	7	Singapore	19	153
118	1	2	Brisbane	20	147
119	1	3	Sydney	20	149
120	1	4	Melbourne	20	150
121	1	5	Adelaide	20	152
122	1	6	Fremantle	20	155
123	1	7	Singapore	20	160
124	1	2	Brisbane	21	154
125	1	3	Sydney	21	156
126	1	4	Melbourne	21	157
127	1	5	Adelaide	21	159
128	1	6	Fremantle	21	162
129	1	7	Singapore	21	167
130	1	2	Brisbane	22	161
131	1	3	Sydney	22	163
132	1	4	Melbourne	22	164
133	1	5	Adelaide	22	166
134	1	6	Fremantle	22	169
135	1	7	Singapore	22	174
136	2	1	Xiamen	1	2
137	2	2	Chiwan	1	3
138	2	3	HongKong	1	4
139	2	4	Singapore	1	8
140	2	5	PortKlang	1	9
141	2	6	Salalah	1	15
142	2	7	Jeddah	1	19
143	2	8	Aqabah	1	21
144	2	9	Salalah	1	25
145	2	10	Singapore	1	32
146	2	11	Xiamen	1	37
147	2	1	Xiamen	2	9
148	2	2	Chiwan	2	10
149	2	3	HongKong	2	11
150	2	4	Singapore	2	15
151	2	5	PortKlang	2	16
152	2	6	Salalah	2	22
153	2	7	Jeddah	2	26
154	2	8	Aqabah	2	28
155	2	9	Salalah	2	32
156	2	10	Singapore	2	39
157	2	11	Xiamen	2	44
158	2	1	Xiamen	3	16
159	2	2	Chiwan	3	17
160	2	3	HongKong	3	18
161	2	4	Singapore	3	22
162	2	5	PortKlang	3	23
163	2	6	Salalah	3	29
164	2	7	Jeddah	3	33
165	2	8	Aqabah	3	35
166	2	9	Salalah	3	39
167	2	10	Singapore	3	46
168	2	11	Xiamen	3	51
169	2	1	Xiamen	4	23
170	2	2	Chiwan	4	24
171	2	3	HongKong	4	25
172	2	4	Singapore	4	29
173	2	5	PortKlang	4	30
174	2	6	Salalah	4	36
175	2	7	Jeddah	4	40
176	2	8	Aqabah	4	42
177	2	9	Salalah	4	46
178	2	10	Singapore	4	53
