PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	A1	A10	1	180
2	A1	A11	1	180
3	A1	A12	1	180
4	A1	A13	1	180
5	A1	A14	1	180
6	A1	A15	1	180
7	A1	A16	1	180
8	A1	A17	1	180
9	A1	A18	1	180
10	A1	A19	1	180
11	A1	A2	1	180
12	A1	A20	1	180
13	A1	A3	1	180
14	A1	A4	1	180
15	A1	A5	1	180
16	A1	A6	1	180
17	A1	A7	1	180
18	A1	A8	1	180
19	A1	A9	1	180
20	A1	B1	1	180
21	A1	B2	1	180
22	A1	B3	1	180
23	A1	B4	1	180
24	A1	B5	1	180
25	A1	B6	1	180
26	A1	B7	1	180
27	A1	B8	1	180
28	A10	A1	1	180
29	A10	A11	1	180
30	A10	A12	1	180
31	A10	A13	1	180
32	A10	A14	1	180
33	A10	A15	1	180
34	A10	A16	1	180
35	A10	A17	1	180
36	A10	A18	1	180
37	A10	A19	1	180
38	A10	A2	1	180
39	A10	A20	1	180
40	A10	A3	1	180
41	A10	A4	1	180
42	A10	A5	1	180
43	A10	A6	1	180
44	A10	A7	1	180
45	A10	A8	1	180
46	A10	A9	1	180
47	A10	B1	1	180
48	A10	B2	1	180
49	A10	B3	1	180
50	A10	B4	1	180
51	A10	B5	1	180
52	A10	B6	1	180
53	A10	B7	1	180
54	A10	B8	1	180
55	A11	A1	1	180
56	A11	A10	1	180
57	A11	A12	1	180
58	A11	A13	1	180
59	A11	A14	1	180
60	A11	A15	1	180
61	A11	A16	1	180
62	A11	A17	1	180
63	A11	A18	1	180
64	A11	A19	1	180
65	A11	A2	1	180
66	A11	A20	1	180
67	A11	A3	1	180
68	A11	A4	1	180
69	A11	A5	1	180
70	A11	A6	1	180
71	A11	A7	1	180
72	A11	A8	1	180
73	A11	A9	1	180
74	A11	B1	1	180
75	A11	B2	1	180
76	A11	B3	1	180
77	A11	B4	1	180
78	A11	B5	1	180
79	A11	B6	1	180
80	A11	B7	1	180
81	A11	B8	1	180
82	A12	A1	1	180
83	A12	A10	1	180
84	A12	A11	1	180
85	A12	A13	1	180
86	A12	A14	1	180
87	A12	A15	1	180
88	A12	A16	1	180
89	A12	A17	1	180
90	A12	A18	1	180
91	A12	A19	1	180
92	A12	A2	1	180
93	A12	A20	1	180
94	A12	A3	1	180
95	A12	A4	1	180
96	A12	A5	1	180
97	A12	A6	1	180
98	A12	A7	1	180
99	A12	A8	1	180
100	A12	A9	1	180
101	A12	B1	1	180
102	A12	B2	1	180
103	A12	B3	1	180
104	A12	B4	1	180
105	A12	B5	1	180
106	A12	B6	1	180
107	A12	B7	1	180
108	A12	B8	1	180
109	A13	A1	1	180
110	A13	A10	1	180
111	A13	A11	1	180
112	A13	A12	1	180
113	A13	A14	1	180
114	A13	A15	1	180
115	A13	A16	1	180
116	A13	A17	1	180
117	A13	A18	1	180
118	A13	A19	1	180
119	A13	A2	1	180
120	A13	A20	1	180
121	A13	A3	1	180
122	A13	A4	1	180
123	A13	A5	1	180
124	A13	A6	1	180
125	A13	A7	1	180
126	A13	A8	1	180
127	A13	A9	1	180
128	A13	B1	1	180
129	A13	B2	1	180
130	A13	B3	1	180
131	A13	B4	1	180
132	A13	B5	1	180
133	A13	B6	1	180
134	A13	B7	1	180
135	A13	B8	1	180
136	A14	A1	1	180
137	A14	A10	1	180
138	A14	A11	1	180
139	A14	A12	1	180
140	A14	A13	1	180
141	A14	A15	1	180
142	A14	A16	1	180
143	A14	A17	1	180
144	A14	A18	1	180
145	A14	A19	1	180
146	A14	A2	1	180
147	A14	A20	1	180
148	A14	A3	1	180
149	A14	A4	1	180
150	A14	A5	1	180
151	A14	A6	1	180
152	A14	A7	1	180
153	A14	A8	1	180
154	A14	A9	1	180
155	A14	B1	1	180
156	A14	B2	1	180
157	A14	B3	1	180
158	A14	B4	1	180
159	A14	B5	1	180
160	A14	B6	1	180
161	A14	B7	1	180
162	A14	B8	1	180
163	A15	A1	1	180
164	A15	A10	1	180
165	A15	A11	1	180
166	A15	A12	1	180
167	A15	A13	1	180
168	A15	A14	1	180
169	A15	A16	1	180
170	A15	A17	1	180
171	A15	A18	1	180
172	A15	A19	1	180
173	A15	A2	1	180
174	A15	A20	1	180
175	A15	A3	1	180
176	A15	A4	1	180
177	A15	A5	1	180
178	A15	A6	1	180
179	A15	A7	1	180
180	A15	A8	1	180
181	A15	A9	1	180
182	A15	B1	1	180
183	A15	B2	1	180
184	A15	B3	1	180
185	A15	B4	1	180
186	A15	B5	1	180
187	A15	B6	1	180
188	A15	B7	1	180
189	A15	B8	1	180
190	A16	A1	1	180
191	A16	A10	1	180
192	A16	A11	1	180
193	A16	A12	1	180
194	A16	A13	1	180
195	A16	A14	1	180
196	A16	A15	1	180
197	A16	A17	1	180
198	A16	A18	1	180
199	A16	A19	1	180
200	A16	A2	1	180
201	A16	A20	1	180
202	A16	A3	1	180
203	A16	A4	1	180
204	A16	A5	1	180
205	A16	A6	1	180
206	A16	A7	1	180
207	A16	A8	1	180
208	A16	A9	1	180
209	A16	B1	1	180
210	A16	B2	1	180
211	A16	B3	1	180
212	A16	B4	1	180
213	A16	B5	1	180
214	A16	B6	1	180
215	A16	B7	1	180
216	A16	B8	1	180
217	A17	A1	1	180
218	A17	A10	1	180
219	A17	A11	1	180
220	A17	A12	1	180
221	A17	A13	1	180
222	A17	A14	1	180
223	A17	A15	1	180
224	A17	A16	1	180
225	A17	A18	1	180
226	A17	A19	1	180
227	A17	A2	1	180
228	A17	A20	1	180
229	A17	A3	1	180
230	A17	A4	1	180
231	A17	A5	1	180
232	A17	A6	1	180
233	A17	A7	1	180
234	A17	A8	1	180
235	A17	A9	1	180
236	A17	B1	1	180
237	A17	B2	1	180
238	A17	B3	1	180
239	A17	B4	1	180
240	A17	B5	1	180
241	A17	B6	1	180
242	A17	B7	1	180
243	A17	B8	1	180
244	A18	A1	1	180
245	A18	A10	1	180
246	A18	A11	1	180
247	A18	A12	1	180
248	A18	A13	1	180
249	A18	A14	1	180
250	A18	A15	1	180
251	A18	A16	1	180
252	A18	A17	1	180
253	A18	A19	1	180
254	A18	A2	1	180
255	A18	A20	1	180
256	A18	A3	1	180
257	A18	A4	1	180
258	A18	A5	1	180
259	A18	A6	1	180
260	A18	A7	1	180
261	A18	A8	1	180
262	A18	A9	1	180
263	A18	B1	1	180
264	A18	B2	1	180
265	A18	B3	1	180
266	A18	B4	1	180
267	A18	B5	1	180
268	A18	B6	1	180
269	A18	B7	1	180
270	A18	B8	1	180
271	A19	A1	1	180
272	A19	A10	1	180
273	A19	A11	1	180
274	A19	A12	1	180
275	A19	A13	1	180
276	A19	A14	1	180
277	A19	A15	1	180
278	A19	A16	1	180
279	A19	A17	1	180
280	A19	A18	1	180
281	A19	A2	1	180
282	A19	A20	1	180
283	A19	A3	1	180
284	A19	A4	1	180
285	A19	A5	1	180
286	A19	A6	1	180
287	A19	A7	1	180
288	A19	A8	1	180
289	A19	A9	1	180
290	A19	B1	1	180
291	A19	B2	1	180
292	A19	B3	1	180
293	A19	B4	1	180
294	A19	B5	1	180
295	A19	B6	1	180
296	A19	B7	1	180
297	A19	B8	1	180
298	A2	A1	1	180
299	A2	A10	1	180
300	A2	A11	1	180
301	A2	A12	1	180
302	A2	A13	1	180
303	A2	A14	1	180
304	A2	A15	1	180
305	A2	A16	1	180
306	A2	A17	1	180
307	A2	A18	1	180
308	A2	A19	1	180
309	A2	A20	1	180
310	A2	A3	1	180
311	A2	A4	1	180
312	A2	A5	1	180
313	A2	A6	1	180
314	A2	A7	1	180
315	A2	A8	1	180
316	A2	A9	1	180
317	A2	B1	1	180
318	A2	B2	1	180
319	A2	B3	1	180
320	A2	B4	1	180
321	A2	B5	1	180
322	A2	B6	1	180
323	A2	B7	1	180
324	A2	B8	1	180
325	A20	A1	1	180
326	A20	A10	1	180
327	A20	A11	1	180
328	A20	A12	1	180
329	A20	A13	1	180
330	A20	A14	1	180
331	A20	A15	1	180
332	A20	A16	1	180
333	A20	A17	1	180
334	A20	A18	1	180
335	A20	A19	1	180
336	A20	A2	1	180
337	A20	A3	1	180
338	A20	A4	1	180
339	A20	A5	1	180
340	A20	A6	1	180
341	A20	A7	1	180
342	A20	A8	1	180
343	A20	A9	1	180
344	A20	B1	1	180
345	A20	B2	1	180
346	A20	B3	1	180
347	A20	B4	1	180
348	A20	B5	1	180
349	A20	B6	1	180
350	A20	B7	1	180
351	A20	B8	1	180
352	A3	A1	1	180
353	A3	A10	1	180
354	A3	A11	1	180
355	A3	A12	1	180
356	A3	A13	1	180
357	A3	A14	1	180
358	A3	A15	1	180
359	A3	A16	1	180
360	A3	A17	1	180
361	A3	A18	1	180
362	A3	A19	1	180
363	A3	A2	1	180
364	A3	A20	1	180
365	A3	A4	1	180
366	A3	A5	1	180
367	A3	A6	1	180
368	A3	A7	1	180
369	A3	A8	1	180
370	A3	A9	1	180
371	A3	B1	1	180
372	A3	B2	1	180
373	A3	B3	1	180
374	A3	B4	1	180
375	A3	B5	1	180
376	A3	B6	1	180
377	A3	B7	1	180
378	A3	B8	1	180
379	A4	A1	1	180
380	A4	A10	1	180
381	A4	A11	1	180
382	A4	A12	1	180
383	A4	A13	1	180
384	A4	A14	1	180
385	A4	A15	1	180
386	A4	A16	1	180
387	A4	A17	1	180
