Route	Call	Port	Time
1	1	A1	2
1	2	A2	5
1	3	A3	8
1	4	B1	24
1	5	B2	32
1	6	A1	51
2	1	A4	1
2	2	A5	3
2	3	A6	5
2	4	A3	6
2	5	A7	9
2	6	B3	21
2	7	B4	24
2	8	A8	47
2	9	A4	50
3	1	A9	3
3	2	A4	4
3	3	A10	6
3	4	B4	22
3	5	B3	26
3	6	A10	43
3	7	A9	45
4	1	A4	5
4	2	A6	7
4	3	A3	10
4	4	B5	23
4	5	B6	28
4	6	B7	41
4	7	A7	50
4	8	A4	54
5	1	A11	2
5	2	A12	3
5	3	A13	5
5	4	B5	17
5	5	B6	23
5	6	A13	36
5	7	A14	37
5	8	A11	38
5	9	A12	40
5	10	A11	44
6	1	A15	2
6	2	A5	3
6	3	A9	5
6	4	A4	6
6	5	B5	21
6	6	B6	26
6	7	A15	44
7	1	A2	3
7	2	A3	6
7	3	A6	8
7	4	B5	22
7	5	B6	28
7	6	A7	43
7	7	A2	45
8	1	A6	5
8	2	A3	6
8	3	A7	10
8	4	B1	22
8	5	A7	43
8	6	A6	47
9	1	A3	6
9	2	A6	7
9	3	A10	10
9	4	A4	12
9	5	B8	29
9	6	B4	36
9	7	A13	53
9	8	A17	55
9	9	A2	60
9	10	A3	62
10	1	A3	1
10	2	A16	2
10	3	A18	4
10	4	A4	5
10	5	A5	8
10	6	B5	23
10	7	B3	33
10	8	A3	50
11	1	A19	3
11	2	A18	7
11	3	A9	8
11	4	A4	9
11	5	A10	11
11	6	B1	24
11	7	A10	48
11	8	A19	52
12	1	A9	1
12	2	A4	4
12	3	A6	7
12	4	A3	9
12	5	B2	20
12	6	B4	24
12	7	A9	43
13	1	A19	2
13	2	A20	6
13	3	A5	9
13	4	A6	12
13	5	B1	28
13	6	A19	51
