TransshipArc ID	Port	Origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1655	A2	2	5	5	847	10	1	7
1656	A2	2	5	12	854	17	1	7
1657	A3	3	8	5	115	13	1	2
1658	A3	3	8	12	124	20	1	2
1659	A3	3	8	2	390	10	1	4
1660	A3	3	8	9	398	17	1	4
1661	A3	3	8	5	848	13	1	7
1662	A3	3	8	12	855	20	1	7
1663	A3	3	8	5	973	13	1	8
1664	A3	3	8	12	979	20	1	8
1665	A3	3	8	5	1082	13	1	9
1666	A3	3	8	12	1092	20	1	9
1667	A3	3	8	0	1241	8	1	10
1668	A3	3	8	7	1249	15	1	10
1669	A3	3	8	1	1516	9	1	12
1670	A3	3	8	8	1523	16	1	12
1671	B1	4	24	5	975	29	1	8
1672	B1	4	24	12	981	36	1	8
1673	B1	4	24	0	1378	24	1	11
1674	B1	4	24	7	1386	31	1	11
1675	B1	4	24	4	1643	28	1	13
1676	B1	4	24	11	1649	35	1	13
1677	B2	5	32	2	1531	34	1	12
1678	B2	5	32	9	1538	41	1	12
1679	A2	8	12	5	854	17	1	7
1680	A2	8	12	12	861	24	1	7
1681	A3	9	15	5	124	20	1	2
1682	A3	9	15	12	133	27	1	2
1683	A3	9	15	2	398	17	1	4
1684	A3	9	15	9	406	24	1	4
1685	A3	9	15	5	855	20	1	7
1686	A3	9	15	12	862	27	1	7
1687	A3	9	15	5	979	20	1	8
1688	A3	9	15	12	985	27	1	8
1689	A3	9	15	5	1092	20	1	9
1690	A3	9	15	12	1102	27	1	9
1691	A3	9	15	0	1249	15	1	10
1692	A3	9	15	7	1257	22	1	10
1693	A3	9	15	1	1523	16	1	12
1694	A3	9	15	8	1530	23	1	12
1695	B1	10	31	5	981	36	1	8
1696	B1	10	31	12	987	43	1	8
1697	B1	10	31	0	1386	31	1	11
1698	B1	10	31	7	1394	38	1	11
1699	B1	10	31	4	1649	35	1	13
1700	B1	10	31	11	1655	42	1	13
1701	B2	11	39	2	1538	41	1	12
1702	B2	11	39	9	1545	48	1	12
1703	A2	14	19	5	861	24	1	7
1704	A2	14	19	12	868	31	1	7
1705	A3	15	22	5	133	27	1	2
1706	A3	15	22	12	142	34	1	2
1707	A3	15	22	2	406	24	1	4
1708	A3	15	22	9	414	31	1	4
1709	A3	15	22	5	862	27	1	7
1710	A3	15	22	12	869	34	1	7
1711	A3	15	22	5	985	27	1	8
1712	A3	15	22	12	991	34	1	8
1713	A3	15	22	5	1102	27	1	9
1714	A3	15	22	12	1112	34	1	9
1715	A3	15	22	0	1257	22	1	10
1716	A3	15	22	7	1265	29	1	10
1717	A3	15	22	1	1530	23	1	12
1718	A3	15	22	8	1537	30	1	12
1719	B1	16	38	5	987	43	1	8
1720	B1	16	38	12	993	50	1	8
1721	B1	16	38	0	1394	38	1	11
1722	B1	16	38	7	1402	45	1	11
1723	B1	16	38	4	1655	42	1	13
1724	B1	16	38	11	1661	49	1	13
1725	B2	17	46	2	1545	48	1	12
1726	B2	17	46	9	1552	55	1	12
1727	A2	20	26	5	868	31	1	7
1728	A2	20	26	12	875	38	1	7
1729	A3	21	29	5	142	34	1	2
1730	A3	21	29	12	151	41	1	2
1731	A3	21	29	2	414	31	1	4
1732	A3	21	29	9	422	38	1	4
1733	A3	21	29	5	869	34	1	7
1734	A3	21	29	12	876	41	1	7
1735	A3	21	29	5	991	34	1	8
1736	A3	21	29	12	997	41	1	8
1737	A3	21	29	5	1112	34	1	9
1738	A3	21	29	12	1122	41	1	9
1739	A3	21	29	0	1265	29	1	10
1740	A3	21	29	7	1273	36	1	10
1741	A3	21	29	1	1537	30	1	12
1742	A3	21	29	8	1544	37	1	12
1743	B1	22	45	5	993	50	1	8
1744	B1	22	45	12	999	57	1	8
1745	B1	22	45	0	1402	45	1	11
1746	B1	22	45	7	1410	52	1	11
1747	B1	22	45	4	1661	49	1	13
1748	B1	22	45	11	1667	56	1	13
1749	B2	23	53	2	1552	55	1	12
1750	B2	23	53	9	1558	62	1	12
1751	A2	26	33	12	846	45	1	7
1752	A2	26	33	5	875	38	1	7
1753	A3	27	36	5	151	41	1	2
1754	A3	27	36	12	160	48	1	2
1755	A3	27	36	2	422	38	1	4
1756	A3	27	36	9	430	45	1	4
1757	A3	27	36	5	876	41	1	7
1758	A3	27	36	12	882	48	1	7
1759	A3	27	36	5	997	41	1	8
1760	A3	27	36	12	1002	48	1	8
1761	A3	27	36	5	1122	41	1	9
1762	A3	27	36	12	1132	48	1	9
1763	A3	27	36	0	1273	36	1	10
1764	A3	27	36	7	1281	43	1	10
1765	A3	27	36	1	1544	37	1	12
1766	A3	27	36	8	1551	44	1	12
1767	B1	28	52	5	999	57	1	8
1768	B1	28	52	12	1004	64	1	8
1769	B1	28	52	0	1410	52	1	11
1770	B1	28	52	7	1418	59	1	11
1771	B1	28	52	4	1667	56	1	13
1772	B1	28	52	11	1673	63	1	13
1773	B2	29	60	2	1558	62	1	12
1774	B2	29	60	9	1564	69	1	12
1775	A2	32	40	5	846	45	1	7
1776	A2	32	40	12	853	52	1	7
1777	A3	33	43	5	160	48	1	2
1778	A3	33	43	12	168	55	1	2
1779	A3	33	43	2	430	45	1	4
1780	A3	33	43	9	438	52	1	4
1781	A3	33	43	5	882	48	1	7
1782	A3	33	43	12	888	55	1	7
1783	A3	33	43	5	1002	48	1	8
1784	A3	33	43	12	1007	55	1	8
1785	A3	33	43	5	1132	48	1	9
1786	A3	33	43	12	1142	55	1	9
1787	A3	33	43	7	1240	50	1	10
1788	A3	33	43	0	1281	43	1	10
1789	A3	33	43	1	1551	44	1	12
1790	A3	33	43	8	1557	51	1	12
1791	B1	34	59	5	1004	64	1	8
1792	B1	34	59	12	1009	71	1	8
1793	B1	34	59	0	1418	59	1	11
1794	B1	34	59	7	1426	66	1	11
1795	B1	34	59	4	1673	63	1	13
1796	B1	34	59	11	1679	70	1	13
1797	B2	35	67	2	1564	69	1	12
1798	B2	35	67	9	1570	76	1	12
1799	A2	38	47	5	853	52	1	7
1800	A2	38	47	12	860	59	1	7
1801	A2	38	47	13	1080	60	1	9
1802	A3	39	50	5	168	55	1	2
1803	A3	39	50	12	176	62	1	2
1804	A3	39	50	2	438	52	1	4
1805	A3	39	50	9	445	59	1	4
1806	A3	39	50	5	888	55	1	7
1807	A3	39	50	12	894	62	1	7
1808	A3	39	50	5	1007	55	1	8
1809	A3	39	50	12	1012	62	1	8
1810	A3	39	50	12	1081	62	1	9
1811	A3	39	50	5	1142	55	1	9
1812	A3	39	50	0	1240	50	1	10
1813	A3	39	50	7	1248	57	1	10
1814	A3	39	50	1	1557	51	1	12
1815	A3	39	50	8	1563	58	1	12
1816	B1	40	66	5	1009	71	1	8
1817	B1	40	66	12	1014	78	1	8
1818	B1	40	66	0	1426	66	1	11
1819	B1	40	66	7	1433	73	1	11
1820	B1	40	66	4	1679	70	1	13
1821	B1	40	66	11	1684	77	1	13
1822	B2	41	74	2	1570	76	1	12
1823	B2	41	74	9	1576	83	1	12
1824	A2	43	54	5	860	59	1	7
1825	A2	43	54	12	867	66	1	7
1826	A2	43	54	6	1080	60	1	9
1827	A2	43	54	13	1090	67	1	9
1828	A3	44	57	5	176	62	1	2
1829	A3	44	57	12	184	69	1	2
1830	A3	44	57	2	445	59	1	4
1831	A3	44	57	9	452	66	1	4
1832	A3	44	57	5	894	62	1	7
1833	A3	44	57	12	900	69	1	7
1834	A3	44	57	5	1012	62	1	8
1835	A3	44	57	12	1017	69	1	8
1836	A3	44	57	5	1081	62	1	9
1837	A3	44	57	12	1091	69	1	9
1838	A3	44	57	0	1248	57	1	10
1839	A3	44	57	7	1256	64	1	10
1840	A3	44	57	1	1563	58	1	12
1841	A3	44	57	8	1569	65	1	12
1842	B1	45	73	5	1014	78	1	8
1843	B1	45	73	12	1019	85	1	8
1844	B1	45	73	0	1433	73	1	11
1845	B1	45	73	7	1440	80	1	11
1846	B1	45	73	4	1684	77	1	13
1847	B1	45	73	11	1689	84	1	13
1848	B2	46	81	2	1576	83	1	12
1849	B2	46	81	9	1582	90	1	12
1850	A2	48	61	5	867	66	1	7
1851	A2	48	61	12	874	73	1	7
1852	A2	48	61	6	1090	67	1	9
1853	A2	48	61	13	1100	74	1	9
1854	A3	49	64	5	184	69	1	2
1855	A3	49	64	12	192	76	1	2
1856	A3	49	64	2	452	66	1	4
1857	A3	49	64	9	459	73	1	4
1858	A3	49	64	5	900	69	1	7
1859	A3	49	64	12	906	76	1	7
1860	A3	49	64	5	1017	69	1	8
1861	A3	49	64	12	1022	76	1	8
1862	A3	49	64	5	1091	69	1	9
1863	A3	49	64	12	1101	76	1	9
1864	A3	49	64	0	1256	64	1	10
1865	A3	49	64	7	1264	71	1	10
1866	A3	49	64	1	1569	65	1	12
1867	A3	49	64	8	1575	72	1	12
1868	B1	50	80	5	1019	85	1	8
1869	B1	50	80	12	1024	92	1	8
1870	B1	50	80	0	1440	80	1	11
1871	B1	50	80	7	1447	87	1	11
1872	B1	50	80	4	1689	84	1	13
1873	B1	50	80	11	1694	91	1	13
1874	B2	51	88	2	1582	90	1	12
1875	B2	51	88	9	1588	97	1	12
1876	A2	53	68	5	874	73	1	7
1877	A2	53	68	12	881	80	1	7
1878	A2	53	68	6	1100	74	1	9
1879	A2	53	68	13	1110	81	1	9
1880	A3	54	71	5	192	76	1	2
1881	A3	54	71	12	200	83	1	2
1882	A3	54	71	2	459	73	1	4
1883	A3	54	71	9	466	80	1	4
1884	A3	54	71	5	906	76	1	7
1885	A3	54	71	12	912	83	1	7
1886	A3	54	71	5	1022	76	1	8
1887	A3	54	71	12	1027	83	1	8
1888	A3	54	71	5	1101	76	1	9
1889	A3	54	71	12	1111	83	1	9
1890	A3	54	71	0	1264	71	1	10
1891	A3	54	71	7	1272	78	1	10
1892	A3	54	71	1	1575	72	1	12
1893	A3	54	71	8	1581	79	1	12
1894	B1	55	87	5	1024	92	1	8
1895	B1	55	87	12	1029	99	1	8
1896	B1	55	87	0	1447	87	1	11
1897	B1	55	87	7	1454	94	1	11
1898	B1	55	87	4	1694	91	1	13
1899	B1	55	87	11	1699	98	1	13
1900	B2	56	95	2	1588	97	1	12
1901	B2	56	95	9	1594	104	1	12
1902	A2	58	75	5	881	80	1	7
1903	A2	58	75	12	887	87	1	7
1904	A2	58	75	6	1110	81	1	9
1905	A2	58	75	13	1120	88	1	9
1906	A3	59	78	5	200	83	1	2
1907	A3	59	78	12	208	90	1	2
1908	A3	59	78	2	466	80	1	4
1909	A3	59	78	9	473	87	1	4
1910	A3	59	78	5	912	83	1	7
1911	A3	59	78	12	918	90	1	7
1912	A3	59	78	5	1027	83	1	8
1913	A3	59	78	12	1032	90	1	8
1914	A3	59	78	5	1111	83	1	9
1915	A3	59	78	12	1121	90	1	9
1916	A3	59	78	0	1272	78	1	10
1917	A3	59	78	7	1280	85	1	10
1918	A3	59	78	1	1581	79	1	12
1919	A3	59	78	8	1587	86	1	12
1920	B1	60	94	5	1029	99	1	8
1921	B1	60	94	12	1034	106	1	8
1922	B1	60	94	0	1454	94	1	11
1923	B1	60	94	7	1461	101	1	11
1924	B1	60	94	4	1699	98	1	13
1925	B1	60	94	11	1704	105	1	13
1926	B2	61	102	2	1594	104	1	12
1927	B2	61	102	9	1600	111	1	12
1928	A2	63	82	5	887	87	1	7
1929	A2	63	82	12	893	94	1	7
1930	A2	63	82	6	1120	88	1	9
1931	A2	63	82	13	1130	95	1	9
1932	A3	64	85	5	208	90	1	2
1933	A3	64	85	12	216	97	1	2
1934	A3	64	85	2	473	87	1	4
1935	A3	64	85	9	480	94	1	4
1936	A3	64	85	5	918	90	1	7
1937	A3	64	85	12	924	97	1	7
1938	A3	64	85	5	1032	90	1	8
1939	A3	64	85	12	1037	97	1	8
1940	A3	64	85	5	1121	90	1	9
1941	A3	64	85	12	1131	97	1	9
1942	A3	64	85	0	1280	85	1	10
1943	A3	64	85	7	1288	92	1	10
1944	A3	64	85	1	1587	86	1	12
1945	A3	64	85	8	1593	93	1	12
1946	B1	65	101	5	1034	106	1	8
1947	B1	65	101	12	1039	113	1	8
1948	B1	65	101	0	1461	101	1	11
1949	B1	65	101	7	1468	108	1	11
1950	B1	65	101	4	1704	105	1	13
1951	B1	65	101	11	1709	112	1	13
1952	B2	66	109	2	1600	111	1	12
1953	B2	66	109	9	1606	118	1	12
1954	A2	68	89	5	893	94	1	7
1955	A2	68	89	12	899	101	1	7
1956	A2	68	89	6	1130	95	1	9
1957	A2	68	89	13	1140	102	1	9
1958	A3	69	92	5	216	97	1	2
1959	A3	69	92	12	224	104	1	2
1960	A3	69	92	2	480	94	1	4
1961	A3	69	92	9	487	101	1	4
1962	A3	69	92	5	924	97	1	7
1963	A3	69	92	12	930	104	1	7
1964	A3	69	92	5	1037	97	1	8
1965	A3	69	92	12	1042	104	1	8
1966	A3	69	92	5	1131	97	1	9
1967	A3	69	92	12	1141	104	1	9
1968	A3	69	92	0	1288	92	1	10
1969	A3	69	92	7	1295	99	1	10
1970	A3	69	92	1	1593	93	1	12
1971	A3	69	92	8	1599	100	1	12
1972	B1	70	108	5	1039	113	1	8
1973	B1	70	108	12	1044	120	1	8
1974	B1	70	108	0	1468	108	1	11
1975	B1	70	108	7	1475	115	1	11
1976	B1	70	108	4	1709	112	1	13
1977	B1	70	108	11	1714	119	1	13
1978	B2	71	116	2	1606	118	1	12
1979	B2	71	116	9	1612	125	1	12
1980	A2	73	96	5	899	101	1	7
1981	A2	73	96	12	905	108	1	7
1982	A2	73	96	6	1140	102	1	9
1983	A2	73	96	13	1150	109	1	9
1984	A3	74	99	5	224	104	1	2
1985	A3	74	99	12	232	111	1	2
1986	A3	74	99	2	487	101	1	4
1987	A3	74	99	9	494	108	1	4
1988	A3	74	99	5	930	104	1	7
1989	A3	74	99	12	936	111	1	7
1990	A3	74	99	5	1042	104	1	8
1991	A3	74	99	12	1047	111	1	8
1992	A3	74	99	5	1141	104	1	9
1993	A3	74	99	12	1151	111	1	9
1994	A3	74	99	0	1295	99	1	10
1995	A3	74	99	7	1302	106	1	10
1996	A3	74	99	1	1599	100	1	12
1997	A3	74	99	8	1605	107	1	12
1998	B1	75	115	5	1044	120	1	8
1999	B1	75	115	12	1049	127	1	8
2000	B1	75	115	0	1475	115	1	11
2001	B1	75	115	7	1482	122	1	11
2002	B1	75	115	4	1714	119	1	13
2003	B1	75	115	11	1719	126	1	13
2004	B2	76	123	2	1612	125	1	12
2005	B2	76	123	9	1618	132	1	12
2006	A2	78	103	5	905	108	1	7
2007	A2	78	103	12	911	115	1	7
2008	A2	78	103	6	1150	109	1	9
2009	A2	78	103	13	1159	116	1	9
2010	A3	79	106	5	232	111	1	2
2011	A3	79	106	12	240	118	1	2
2012	A3	79	106	2	494	108	1	4
2013	A3	79	106	9	501	115	1	4
2014	A3	79	106	5	936	111	1	7
2015	A3	79	106	12	942	118	1	7
2016	A3	79	106	5	1047	111	1	8
2017	A3	79	106	12	1052	118	1	8
2018	A3	79	106	5	1151	111	1	9
2019	A3	79	106	12	1160	118	1	9
2020	A3	79	106	0	1302	106	1	10
2021	A3	79	106	7	1309	113	1	10
2022	A3	79	106	1	1605	107	1	12
2023	A3	79	106	8	1611	114	1	12
2024	B1	80	122	5	1049	127	1	8
2025	B1	80	122	12	1054	134	1	8
2026	B1	80	122	0	1482	122	1	11
2027	B1	80	122	7	1489	129	1	11
2028	B1	80	122	4	1719	126	1	13
2029	B1	80	122	11	1724	133	1	13
2030	B2	81	130	2	1618	132	1	12
2031	B2	81	130	9	1624	139	1	12
2032	A2	83	110	5	911	115	1	7
2033	A2	83	110	12	917	122	1	7
2034	A2	83	110	6	1159	116	1	9
2035	A2	83	110	13	1168	123	1	9
2036	A3	84	113	5	240	118	1	2
