TravelingArc_ID	Route	Origin_node_ID	Origin_Call	Origin_Port	Round_Trip	OriginTime	TravelingTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	A1	1	2	3	2	2	A2	5
2	1	2	2	A2	1	5	3	3	3	A3	8
3	1	3	3	A3	1	8	16	4	4	B1	24
4	1	4	4	B1	1	24	8	5	5	B2	32
5	1	5	5	B2	1	32	19	6	6	A1	51
6	1	6	6	A1	1	51	3	43	2	A2	54
7	1	7	1	A1	2	9	3	8	2	A2	12
8	1	8	2	A2	2	12	3	9	3	A3	15
9	1	9	3	A3	2	15	16	10	4	B1	31
10	1	10	4	B1	2	31	8	11	5	B2	39
11	1	11	5	B2	2	39	19	12	6	A1	58
12	1	12	6	A1	2	58	3	48	2	A2	61
13	1	13	1	A1	3	16	3	14	2	A2	19
14	1	14	2	A2	3	19	3	15	3	A3	22
15	1	15	3	A3	3	22	16	16	4	B1	38
16	1	16	4	B1	3	38	8	17	5	B2	46
17	1	17	5	B2	3	46	19	18	6	A1	65
18	1	18	6	A1	3	65	3	53	2	A2	68
19	1	19	1	A1	4	23	3	20	2	A2	26
20	1	20	2	A2	4	26	3	21	3	A3	29
21	1	21	3	A3	4	29	16	22	4	B1	45
22	1	22	4	B1	4	45	8	23	5	B2	53
23	1	23	5	B2	4	53	19	24	6	A1	72
24	1	24	6	A1	4	72	3	58	2	A2	75
25	1	25	1	A1	5	30	3	26	2	A2	33
26	1	26	2	A2	5	33	3	27	3	A3	36
27	1	27	3	A3	5	36	16	28	4	B1	52
28	1	28	4	B1	5	52	8	29	5	B2	60
29	1	29	5	B2	5	60	19	30	6	A1	79
30	1	30	6	A1	5	79	3	63	2	A2	82
31	1	31	1	A1	6	37	3	32	2	A2	40
32	1	32	2	A2	6	40	3	33	3	A3	43
33	1	33	3	A3	6	43	16	34	4	B1	59
34	1	34	4	B1	6	59	8	35	5	B2	67
35	1	35	5	B2	6	67	19	36	6	A1	86
36	1	36	6	A1	6	86	3	68	2	A2	89
37	1	37	1	A1	7	44	3	38	2	A2	47
38	1	38	2	A2	7	47	3	39	3	A3	50
39	1	39	3	A3	7	50	16	40	4	B1	66
40	1	40	4	B1	7	66	8	41	5	B2	74
41	1	41	5	B2	7	74	19	42	6	A1	93
42	1	42	6	A1	7	93	3	73	2	A2	96
43	1	43	2	A2	8	54	3	44	3	A3	57
44	1	44	3	A3	8	57	16	45	4	B1	73
45	1	45	4	B1	8	73	8	46	5	B2	81
46	1	46	5	B2	8	81	19	47	6	A1	100
47	1	47	6	A1	8	100	3	78	2	A2	103
48	1	48	2	A2	9	61	3	49	3	A3	64
49	1	49	3	A3	9	64	16	50	4	B1	80
50	1	50	4	B1	9	80	8	51	5	B2	88
51	1	51	5	B2	9	88	19	52	6	A1	107
52	1	52	6	A1	9	107	3	83	2	A2	110
53	1	53	2	A2	10	68	3	54	3	A3	71
54	1	54	3	A3	10	71	16	55	4	B1	87
55	1	55	4	B1	10	87	8	56	5	B2	95
56	1	56	5	B2	10	95	19	57	6	A1	114
57	1	57	6	A1	10	114	3	88	2	A2	117
58	1	58	2	A2	11	75	3	59	3	A3	78
59	1	59	3	A3	11	78	16	60	4	B1	94
60	1	60	4	B1	11	94	8	61	5	B2	102
61	1	61	5	B2	11	102	19	62	6	A1	121
62	1	62	6	A1	11	121	3	93	2	A2	124
63	1	63	2	A2	12	82	3	64	3	A3	85
64	1	64	3	A3	12	85	16	65	4	B1	101
65	1	65	4	B1	12	101	8	66	5	B2	109
66	1	66	5	B2	12	109	19	67	6	A1	128
67	1	67	6	A1	12	128	3	98	2	A2	131
68	1	68	2	A2	13	89	3	69	3	A3	92
69	1	69	3	A3	13	92	16	70	4	B1	108
70	1	70	4	B1	13	108	8	71	5	B2	116
71	1	71	5	B2	13	116	19	72	6	A1	135
72	1	73	2	A2	14	96	3	74	3	A3	99
73	1	74	3	A3	14	99	16	75	4	B1	115
74	1	75	4	B1	14	115	8	76	5	B2	123
75	1	76	5	B2	14	123	19	77	6	A1	142
76	1	78	2	A2	15	103	3	79	3	A3	106
77	1	79	3	A3	15	106	16	80	4	B1	122
78	1	80	4	B1	15	122	8	81	5	B2	130
79	1	81	5	B2	15	130	19	82	6	A1	149
80	1	83	2	A2	16	110	3	84	3	A3	113
81	1	84	3	A3	16	113	16	85	4	B1	129
82	1	85	4	B1	16	129	8	86	5	B2	137
83	1	86	5	B2	16	137	19	87	6	A1	156
84	1	88	2	A2	17	117	3	89	3	A3	120
85	1	89	3	A3	17	120	16	90	4	B1	136
86	1	90	4	B1	17	136	8	91	5	B2	144
87	1	91	5	B2	17	144	19	92	6	A1	163
88	1	93	2	A2	18	124	3	94	3	A3	127
89	1	94	3	A3	18	127	16	95	4	B1	143
90	1	95	4	B1	18	143	8	96	5	B2	151
91	1	96	5	B2	18	151	19	97	6	A1	170
92	1	98	2	A2	19	131	3	99	3	A3	134
93	1	99	3	A3	19	134	16	100	4	B1	150
94	1	100	4	B1	19	150	8	101	5	B2	158
95	1	101	5	B2	19	158	19	102	6	A1	177
96	2	103	1	A4	1	1	2	104	2	A5	3
97	2	104	2	A5	1	3	2	105	3	A6	5
98	2	105	3	A6	1	5	1	106	4	A3	6
99	2	106	4	A3	1	6	3	107	5	A7	9
100	2	107	5	A7	1	9	12	108	6	B3	21
101	2	108	6	B3	1	21	3	109	7	B4	24
102	2	109	7	B4	1	24	23	110	8	A8	47
103	2	110	8	A8	1	47	3	111	9	A4	50
104	2	111	9	A4	1	50	2	166	2	A5	52
105	2	112	1	A4	2	8	2	113	2	A5	10
106	2	113	2	A5	2	10	2	114	3	A6	12
107	2	114	3	A6	2	12	1	115	4	A3	13
108	2	115	4	A3	2	13	3	116	5	A7	16
109	2	116	5	A7	2	16	12	117	6	B3	28
110	2	117	6	B3	2	28	3	118	7	B4	31
111	2	118	7	B4	2	31	23	119	8	A8	54
112	2	119	8	A8	2	54	3	120	9	A4	57
113	2	120	9	A4	2	57	2	174	2	A5	59
114	2	121	1	A4	3	15	2	122	2	A5	17
115	2	122	2	A5	3	17	2	123	3	A6	19
116	2	123	3	A6	3	19	1	124	4	A3	20
117	2	124	4	A3	3	20	3	125	5	A7	23
118	2	125	5	A7	3	23	12	126	6	B3	35
119	2	126	6	B3	3	35	3	127	7	B4	38
120	2	127	7	B4	3	38	23	128	8	A8	61
121	2	128	8	A8	3	61	3	129	9	A4	64
122	2	129	9	A4	3	64	2	182	2	A5	66
123	2	130	1	A4	4	22	2	131	2	A5	24
124	2	131	2	A5	4	24	2	132	3	A6	26
125	2	132	3	A6	4	26	1	133	4	A3	27
126	2	133	4	A3	4	27	3	134	5	A7	30
127	2	134	5	A7	4	30	12	135	6	B3	42
128	2	135	6	B3	4	42	3	136	7	B4	45
129	2	136	7	B4	4	45	23	137	8	A8	68
130	2	137	8	A8	4	68	3	138	9	A4	71
131	2	138	9	A4	4	71	2	190	2	A5	73
132	2	139	1	A4	5	29	2	140	2	A5	31
133	2	140	2	A5	5	31	2	141	3	A6	33
134	2	141	3	A6	5	33	1	142	4	A3	34
135	2	142	4	A3	5	34	3	143	5	A7	37
136	2	143	5	A7	5	37	12	144	6	B3	49
137	2	144	6	B3	5	49	3	145	7	B4	52
138	2	145	7	B4	5	52	23	146	8	A8	75
139	2	146	8	A8	5	75	3	147	9	A4	78
140	2	147	9	A4	5	78	2	198	2	A5	80
141	2	148	1	A4	6	36	2	149	2	A5	38
142	2	149	2	A5	6	38	2	150	3	A6	40
143	2	150	3	A6	6	40	1	151	4	A3	41
144	2	151	4	A3	6	41	3	152	5	A7	44
145	2	152	5	A7	6	44	12	153	6	B3	56
146	2	153	6	B3	6	56	3	154	7	B4	59
147	2	154	7	B4	6	59	23	155	8	A8	82
148	2	155	8	A8	6	82	3	156	9	A4	85
149	2	156	9	A4	6	85	2	206	2	A5	87
150	2	157	1	A4	7	43	2	158	2	A5	45
151	2	158	2	A5	7	45	2	159	3	A6	47
152	2	159	3	A6	7	47	1	160	4	A3	48
153	2	160	4	A3	7	48	3	161	5	A7	51
154	2	161	5	A7	7	51	12	162	6	B3	63
155	2	162	6	B3	7	63	3	163	7	B4	66
156	2	163	7	B4	7	66	23	164	8	A8	89
157	2	164	8	A8	7	89	3	165	9	A4	92
158	2	165	9	A4	7	92	2	214	2	A5	94
159	2	166	2	A5	8	52	2	167	3	A6	54
160	2	167	3	A6	8	54	1	168	4	A3	55
161	2	168	4	A3	8	55	3	169	5	A7	58
162	2	169	5	A7	8	58	12	170	6	B3	70
163	2	170	6	B3	8	70	3	171	7	B4	73
164	2	171	7	B4	8	73	23	172	8	A8	96
165	2	172	8	A8	8	96	3	173	9	A4	99
166	2	173	9	A4	8	99	2	222	2	A5	101
167	2	174	2	A5	9	59	2	175	3	A6	61
168	2	175	3	A6	9	61	1	176	4	A3	62
169	2	176	4	A3	9	62	3	177	5	A7	65
170	2	177	5	A7	9	65	12	178	6	B3	77
171	2	178	6	B3	9	77	3	179	7	B4	80
172	2	179	7	B4	9	80	23	180	8	A8	103
173	2	180	8	A8	9	103	3	181	9	A4	106
174	2	181	9	A4	9	106	2	230	2	A5	108
175	2	182	2	A5	10	66	2	183	3	A6	68
