VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	2	23
2	1	7	9,10,11,12,13,14,15	9	30
3	1	7	17,18,19,20,21,22,23	16	37
4	1	7	8,25,26,27,28,29,30	23	44
5	1	7	16,32,33,34,35,36,37	30	51
6	1	7	24,39,40,41,42,43,44	37	58
7	1	7	31,46,47,48,49,50,51	44	65
8	1	7	38,53,54,55,56,57,58	51	72
9	1	7	45,60,61,62,63,64,65	58	79
10	1	7	52,67,68,69,70,71,72	65	86
11	1	7	59,74,75,76,77,78,79	72	93
12	1	7	66,81,82,83,84,85,86	79	100
13	1	7	73,88,89,90,91,92,93	86	107
14	1	7	80,95,96,97,98,99,100	93	114
15	1	7	87,102,103,104,105,106,107	100	121
16	1	7	94,109,110,111,112,113,114	107	128
17	1	7	101,116,117,118,119,120,121	114	135
18	1	7	108,123,124,125,126,127,128	121	142
19	1	7	115,130,131,132,133,134,135	128	149
20	1	7	122,137,138,139,140,141,142	135	156
21	1	7	129,144,145,146,147,148,149	142	163
22	1	7	136,150,151,152,153,154,155	149	170
23	1	7	143,156,157,158,159,160,161	156	177
24	2	5	162,163,164,165,166	4	32
25	2	5	168,169,170,171,172	11	39
26	2	5	174,175,176,177,178	18	46
27	2	5	180,181,182,183,184	25	53
28	2	5	167,186,187,188,189	32	60
29	2	5	173,191,192,193,194	39	67
30	2	5	179,196,197,198,199	46	74
31	2	5	185,201,202,203,204	53	81
32	2	5	190,206,207,208,209	60	88
33	2	5	195,211,212,213,214	67	95
34	2	5	200,216,217,218,219	74	102
35	2	5	205,221,222,223,224	81	109
36	2	5	210,226,227,228,229	88	116
37	2	5	215,231,232,233,234	95	123
38	2	5	220,236,237,238,239	102	130
39	2	5	225,241,242,243,244	109	137
40	2	5	230,246,247,248,249	116	144
41	2	5	235,251,252,253,254	123	151
42	2	5	240,256,257,258,259	130	158
43	2	5	245,260,261,262,263	137	165
44	2	5	250,264,265,266,267	144	172
45	2	5	255,268,269,270,271	151	179
