VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	2	1,2	1	15
2	1	2	4,5	8	22
3	1	2	3,7	15	29
4	1	2	6,9	22	36
5	1	2	8,11	29	43
6	1	2	10,13	36	50
7	1	2	12,15	43	57
8	1	2	14,17	50	64
9	1	2	16,19	57	71
10	1	2	18,21	64	78
11	1	2	20,23	71	85
12	1	2	22,25	78	92
13	1	2	24,27	85	99
14	1	2	26,29	92	106
15	1	2	28,31	99	113
16	1	2	30,33	106	120
17	1	2	32,35	113	127
18	1	2	34,37	120	134
19	1	2	36,39	127	141
20	1	2	38,41	134	148
21	1	2	40,43	141	155
22	1	2	42,45	148	162
23	1	2	44,47	155	169
24	1	2	46,48	162	176
25	2	3	49,50,51	2	16
26	2	3	53,54,55	9	23
27	2	3	52,57,58	16	30
28	2	3	56,60,61	23	37
29	2	3	59,63,64	30	44
30	2	3	62,66,67	37	51
31	2	3	65,69,70	44	58
32	2	3	68,72,73	51	65
33	2	3	71,75,76	58	72
34	2	3	74,78,79	65	79
35	2	3	77,81,82	72	86
36	2	3	80,84,85	79	93
37	2	3	83,87,88	86	100
38	2	3	86,90,91	93	107
39	2	3	89,93,94	100	114
40	2	3	92,96,97	107	121
41	2	3	95,99,100	114	128
42	2	3	98,102,103	121	135
43	2	3	101,105,106	128	142
44	2	3	104,108,109	135	149
45	2	3	107,111,112	142	156
46	2	3	110,114,115	149	163
47	2	3	113,117,118	156	170
48	2	3	116,119,120	163	177
49	3	3	121,122,123	3	10
50	3	3	124,125,126	10	17
51	3	3	127,128,129	17	24
52	3	3	130,131,132	24	31
53	3	3	133,134,135	31	38
54	3	3	136,137,138	38	45
55	3	3	139,140,141	45	52
56	3	3	142,143,144	52	59
57	3	3	145,146,147	59	66
58	3	3	148,149,150	66	73
59	3	3	151,152,153	73	80
60	3	3	154,155,156	80	87
61	3	3	157,158,159	87	94
62	3	3	160,161,162	94	101
63	3	3	163,164,165	101	108
64	3	3	166,167,168	108	115
65	3	3	169,170,171	115	122
66	3	3	172,173,174	122	129
67	3	3	175,176,177	129	136
68	3	3	178,179,180	136	143
69	3	3	181,182,183	143	150
70	3	3	184,185,186	150	157
71	3	3	187,188,189	157	164
72	3	3	190,191,192	164	171
73	3	3	193,194,195	171	178
