PathID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	Arcs_ID
1	A1	6	A2	10	4	0	0	2	A1,A2	1	556
2	A1	13	A2	17	4	0	0	2	A1,A2	1	561
3	A1	20	A2	24	4	0	0	2	A1,A2	1	565
4	A1	27	A2	31	4	0	0	2	A1,A2	1	569
5	A1	34	A2	38	4	0	0	2	A1,A2	1	573
6	A1	41	A2	45	4	0	0	2	A1,A2	1	577
7	A1	48	A2	52	4	0	0	2	A1,A2	1	581
8	A1	55	A2	59	4	0	0	2	A1,A2	1	585
9	A1	62	A2	66	4	0	0	2	A1,A2	1	589
10	A1	69	A2	73	4	0	0	2	A1,A2	1	593
11	A1	76	A2	80	4	0	0	2	A1,A2	1	597
12	A1	83	A2	87	4	0	0	2	A1,A2	1	601
13	A1	90	A2	94	4	0	0	2	A1,A2	1	605
14	A1	97	A2	101	4	0	0	2	A1,A2	1	609
15	A1	104	A2	108	4	0	0	2	A1,A2	1	613
16	A1	111	A2	115	4	0	0	2	A1,A2	1	617
17	A1	118	A2	122	4	0	0	2	A1,A2	1	621
18	A1	125	A2	129	4	0	0	2	A1,A2	1	625
19	A1	132	A2	136	4	0	0	2	A1,A2	1	629
20	A1	139	A2	143	4	0	0	2	A1,A2	1	633
21	A1	146	A2	150	4	0	0	2	A1,A2	1	637
22	A1	153	A2	157	4	0	0	2	A1,A2	1	641
23	A1	160	A2	164	4	0	0	2	A1,A2	1	645
24	A1	167	A2	171	4	0	0	2	A1,A2	1	648
25	A1	6	A3	19	13	0	0	4	A1,A2,A10,A3	3	556,557,558
26	A1	13	A3	26	13	0	0	4	A1,A2,A10,A3	3	561,562,563
27	A1	20	A3	33	13	0	0	4	A1,A2,A10,A3	3	565,566,567
28	A1	27	A3	40	13	0	0	4	A1,A2,A10,A3	3	569,570,571
29	A1	34	A3	47	13	0	0	4	A1,A2,A10,A3	3	573,574,575
30	A1	41	A3	54	13	0	0	4	A1,A2,A10,A3	3	577,578,579
31	A1	48	A3	61	13	0	0	4	A1,A2,A10,A3	3	581,582,583
32	A1	55	A3	68	13	0	0	4	A1,A2,A10,A3	3	585,586,587
33	A1	62	A3	75	13	0	0	4	A1,A2,A10,A3	3	589,590,591
34	A1	69	A3	82	13	0	0	4	A1,A2,A10,A3	3	593,594,595
35	A1	76	A3	89	13	0	0	4	A1,A2,A10,A3	3	597,598,599
36	A1	83	A3	96	13	0	0	4	A1,A2,A10,A3	3	601,602,603
37	A1	90	A3	103	13	0	0	4	A1,A2,A10,A3	3	605,606,607
38	A1	97	A3	110	13	0	0	4	A1,A2,A10,A3	3	609,610,611
39	A1	104	A3	117	13	0	0	4	A1,A2,A10,A3	3	613,614,615
40	A1	111	A3	124	13	0	0	4	A1,A2,A10,A3	3	617,618,619
41	A1	118	A3	131	13	0	0	4	A1,A2,A10,A3	3	621,622,623
42	A1	125	A3	138	13	0	0	4	A1,A2,A10,A3	3	625,626,627
43	A1	132	A3	145	13	0	0	4	A1,A2,A10,A3	3	629,630,631
44	A1	139	A3	152	13	0	0	4	A1,A2,A10,A3	3	633,634,635
45	A1	146	A3	159	13	0	0	4	A1,A2,A10,A3	3	637,638,639
46	A1	153	A3	166	13	0	0	4	A1,A2,A10,A3	3	641,642,643
47	A1	160	A3	173	13	0	0	4	A1,A2,A10,A3	3	645,646,647
48	A1	167	A3	180	13	0	0	4	A1,A2,A10,A3	3	648,649,650
49	A1	10	A4	46	36	B2	0	5	A1,B2,B1,A7,A4	5	267,1023,655,656,657
50	A1	17	A4	53	36	B2	0	5	A1,B2,B1,A7,A4	5	274,1032,662,663,664
51	A1	24	A4	60	36	B2	0	5	A1,B2,B1,A7,A4	5	281,1041,669,670,671
52	A1	31	A4	67	36	B2	0	5	A1,B2,B1,A7,A4	5	288,1050,676,677,678
53	A1	38	A4	74	36	B2	0	5	A1,B2,B1,A7,A4	5	295,1059,683,684,685
54	A1	45	A4	81	36	B2	0	5	A1,B2,B1,A7,A4	5	302,1068,690,691,692
55	A1	52	A4	88	36	B2	0	5	A1,B2,B1,A7,A4	5	308,1076,696,697,698
56	A1	59	A4	95	36	B2	0	5	A1,B2,B1,A7,A4	5	314,1084,702,703,704
57	A1	66	A4	102	36	B2	0	5	A1,B2,B1,A7,A4	5	320,1092,708,709,710
58	A1	73	A4	109	36	B2	0	5	A1,B2,B1,A7,A4	5	326,1100,714,715,716
59	A1	80	A4	116	36	B2	0	5	A1,B2,B1,A7,A4	5	332,1108,720,721,722
60	A1	87	A4	123	36	B2	0	5	A1,B2,B1,A7,A4	5	338,1116,726,727,728
61	A1	94	A4	130	36	B2	0	5	A1,B2,B1,A7,A4	5	344,1124,732,733,734
62	A1	101	A4	137	36	B2	0	5	A1,B2,B1,A7,A4	5	350,1132,738,739,740
63	A1	10	A5	53	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	267,1023,655,656,657,693,1453,448
64	A1	17	A5	60	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	274,1032,662,663,664,699,1458,455
65	A1	24	A5	67	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	281,1041,669,670,671,705,1463,462
66	A1	31	A5	74	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	288,1050,676,677,678,711,1468,469
67	A1	38	A5	81	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	295,1059,683,684,685,717,1473,476
68	A1	45	A5	88	43	B2,A6	0,2	7	A1,B2,B1,A7,A4,A6,A5	8	302,1068,690,691,692,723,1478,482
