TransshipArc ID	Port	Origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
897	D1	2	5	6	118	11	1	2
898	D1	8	12	6	126	18	1	2
899	D3	9	13	2	120	15	1	2
900	D1	14	19	6	134	25	1	2
901	D3	15	20	2	128	22	1	2
902	D1	20	26	6	142	32	1	2
903	D3	21	27	2	136	29	1	2
904	D1	25	33	6	149	39	1	2
905	D1	25	33	5	278	38	1	3
906	D3	26	34	2	144	36	1	2
907	D1	30	40	6	156	46	1	2
908	D1	30	40	5	285	45	1	3
909	D3	31	41	2	151	43	1	2
910	D1	35	47	6	163	53	1	2
911	D1	35	47	5	292	52	1	3
912	D3	36	48	2	158	50	1	2
913	D1	40	54	6	170	60	1	2
914	D1	40	54	5	299	59	1	3
915	D3	41	55	2	165	57	1	2
916	D1	45	61	6	177	67	1	2
917	D1	45	61	5	306	66	1	3
918	D3	46	62	2	172	64	1	2
919	D1	50	68	6	184	74	1	2
920	D1	50	68	5	313	73	1	3
921	D3	51	69	2	179	71	1	2
922	D1	55	75	6	191	81	1	2
923	D1	55	75	5	319	80	1	3
924	D3	56	76	2	186	78	1	2
925	D1	60	82	6	198	88	1	2
926	D1	60	82	5	325	87	1	3
927	D3	61	83	2	193	85	1	2
928	D1	65	89	6	205	95	1	2
929	D1	65	89	5	331	94	1	3
930	D3	66	90	2	200	92	1	2
931	D1	70	96	6	212	102	1	2
932	D1	70	96	5	337	101	1	3
933	D3	71	97	2	207	99	1	2
934	D1	75	103	6	219	109	1	2
935	D1	75	103	5	343	108	1	3
936	D3	76	104	2	214	106	1	2
937	D1	80	110	6	226	116	1	2
938	D1	80	110	5	349	115	1	3
939	D3	81	111	2	221	113	1	2
940	D1	85	117	6	233	123	1	2
941	D1	85	117	5	355	122	1	3
942	D3	86	118	2	228	120	1	2
943	D1	90	124	6	240	130	1	2
944	D1	90	124	5	361	129	1	3
945	D3	91	125	2	235	127	1	2
946	D1	95	131	6	247	137	1	2
947	D1	95	131	5	367	136	1	3
948	D3	96	132	2	242	134	1	2
949	D1	100	138	6	254	144	1	2
950	D1	100	138	5	373	143	1	3
951	D3	101	139	2	249	141	1	2
952	D1	105	145	6	261	151	1	2
953	D1	105	145	5	379	150	1	3
954	D3	106	146	2	256	148	1	2
955	D1	110	152	6	268	158	1	2
956	D1	110	152	5	385	157	1	3
957	D3	111	153	2	263	155	1	2
958	D1	118	11	1	8	12	2	1
959	D3	120	15	5	15	20	2	1
960	D1	126	18	1	14	19	2	1
961	D3	128	22	5	21	27	2	1
962	D1	134	25	1	20	26	2	1
963	D3	136	29	5	26	34	2	1
964	D1	142	32	1	25	33	2	1
965	D1	142	32	6	278	38	2	3
966	D3	144	36	5	31	41	2	1
967	D1	149	39	1	30	40	2	1
968	D1	149	39	6	285	45	2	3
969	D3	151	43	5	36	48	2	1
970	D1	156	46	1	35	47	2	1
971	D1	156	46	6	292	52	2	3
972	D3	158	50	5	41	55	2	1
973	D1	163	53	1	40	54	2	1
974	D1	163	53	6	299	59	2	3
975	D3	165	57	5	46	62	2	1
976	D1	170	60	1	45	61	2	1
977	D1	170	60	6	306	66	2	3
978	D3	172	64	5	51	69	2	1
979	D1	177	67	1	50	68	2	1
980	D1	177	67	6	313	73	2	3
981	D3	179	71	5	56	76	2	1
982	D1	184	74	1	55	75	2	1
983	D1	184	74	6	319	80	2	3
984	D3	186	78	5	61	83	2	1
985	D1	191	81	1	60	82	2	1
986	D1	191	81	6	325	87	2	3
987	D3	193	85	5	66	90	2	1
988	D1	198	88	1	65	89	2	1
989	D1	198	88	6	331	94	2	3
990	D3	200	92	5	71	97	2	1
991	D1	205	95	1	70	96	2	1
992	D1	205	95	6	337	101	2	3
993	D3	207	99	5	76	104	2	1
994	D1	212	102	1	75	103	2	1
995	D1	212	102	6	343	108	2	3
996	D3	214	106	5	81	111	2	1
997	D1	219	109	1	80	110	2	1
998	D1	219	109	6	349	115	2	3
999	D3	221	113	5	86	118	2	1
1000	D1	226	116	1	85	117	2	1
1001	D1	226	116	6	355	122	2	3
1002	D3	228	120	5	91	125	2	1
1003	D1	233	123	1	90	124	2	1
1004	D1	233	123	6	361	129	2	3
1005	D3	235	127	5	96	132	2	1
1006	D1	240	130	1	95	131	2	1
1007	D1	240	130	6	367	136	2	3
1008	D3	242	134	5	101	139	2	1
1009	D1	247	137	1	100	138	2	1
1010	D1	247	137	6	373	143	2	3
1011	D3	249	141	5	106	146	2	1
1012	D1	254	144	1	105	145	2	1
1013	D1	254	144	6	379	150	2	3
1014	D3	256	148	5	111	153	2	1
1015	D1	261	151	1	110	152	2	1
1016	D1	261	151	6	385	157	2	3
1017	D1	268	158	6	391	164	2	3
1018	A8	273	5	3	401	8	3	4
1019	A2	274	7	0	452	7	3	5
1020	A2	274	7	3	578	10	3	6
1021	A1	275	10	6	460	16	3	5
1022	A1	275	10	3	582	13	3	6
1023	B2	276	22	0	678	22	3	7
1024	D1	278	38	2	30	40	3	1
1025	D1	278	38	1	149	39	3	2
1026	A8	279	47	3	413	50	3	4
1027	A8	280	12	3	403	15	3	4
1028	A2	281	14	0	459	14	3	5
1029	A2	281	14	3	583	17	3	6
1030	A1	282	17	6	467	23	3	5
1031	A1	282	17	3	586	20	3	6
1032	B2	283	29	0	685	29	3	7
1033	D1	285	45	2	35	47	3	1
1034	D1	285	45	1	156	46	3	2
1035	A8	286	54	3	415	57	3	4
1036	A8	287	19	3	405	22	3	4
1037	A2	288	21	0	466	21	3	5
1038	A2	288	21	3	587	24	3	6
1039	A1	289	24	6	474	30	3	5
1040	A1	289	24	3	590	27	3	6
1041	B2	290	36	0	692	36	3	7
1042	D1	292	52	2	40	54	3	1
1043	D1	292	52	1	163	53	3	2
1044	A8	293	61	3	417	64	3	4
1045	A8	294	26	3	407	29	3	4
1046	A2	295	28	0	473	28	3	5
1047	A2	295	28	3	591	31	3	6
1048	A1	296	31	6	481	37	3	5
1049	A1	296	31	3	594	34	3	6
1050	B2	297	43	0	699	43	3	7
1051	D1	299	59	2	45	61	3	1
1052	D1	299	59	1	170	60	3	2
1053	A8	300	68	3	419	71	3	4
1054	A8	301	33	3	409	36	3	4
1055	A2	302	35	0	480	35	3	5
1056	A2	302	35	3	595	38	3	6
1057	A1	303	38	6	488	44	3	5
1058	A1	303	38	3	598	41	3	6
1059	B2	304	50	0	706	50	3	7
1060	D1	306	66	2	50	68	3	1
1061	D1	306	66	1	177	67	3	2
1062	A8	307	75	3	421	78	3	4
1063	A8	308	40	3	411	43	3	4
1064	A2	309	42	0	487	42	3	5
1065	A2	309	42	3	599	45	3	6
1066	A1	310	45	6	494	51	3	5
1067	A1	310	45	3	602	48	3	6
1068	B2	311	57	0	713	57	3	7
1069	D1	313	73	2	55	75	3	1
1070	D1	313	73	1	184	74	3	2
1071	A8	314	82	3	423	85	3	4
1072	A2	315	49	0	493	49	3	5
1073	A2	315	49	3	603	52	3	6
1074	A1	316	52	6	500	58	3	5
1075	A1	316	52	3	606	55	3	6
1076	B2	317	64	0	719	64	3	7
1077	D1	319	80	2	60	82	3	1
1078	D1	319	80	1	191	81	3	2
1079	A8	320	89	3	425	92	3	4
1080	A2	321	56	0	499	56	3	5
1081	A2	321	56	3	607	59	3	6
1082	A1	322	59	6	506	65	3	5
1083	A1	322	59	3	610	62	3	6
1084	B2	323	71	0	725	71	3	7
1085	D1	325	87	2	65	89	3	1
1086	D1	325	87	1	198	88	3	2
1087	A8	326	96	3	427	99	3	4
1088	A2	327	63	0	505	63	3	5
1089	A2	327	63	3	611	66	3	6
1090	A1	328	66	6	512	72	3	5
