VesselPath	ID	Routes	NumberofArcs	Arc_ID
1	1	1	5	1,2,3,4,5
2	1	2	5	7,8,9,10,11
3	1	3	5	13,14,15,16,17
4	1	4	5	19,20,21,22,23
5	1	5	5	6,25,26,27,28
6	1	6	5	12,30,31,32,33
7	1	7	5	18,35,36,37,38
8	1	8	5	24,40,41,42,43
9	1	9	5	29,45,46,47,48
10	1	10	5	34,50,51,52,53
11	1	11	5	39,55,56,57,58
12	1	12	5	44,60,61,62,63
13	1	13	5	49,65,66,67,68
14	1	14	5	54,70,71,72,73
15	1	15	5	59,75,76,77,78
16	1	16	5	64,80,81,82,83
17	1	17	5	69,85,86,87,88
18	1	18	5	74,90,91,92,93
19	1	19	5	79,95,96,97,98
20	1	20	5	84,99,100,101,102
21	1	21	5	89,103,104,105,106
22	1	22	5	94,107,108,109,110
23	2	1	7	111,112,113,114,115,116,117
24	2	2	7	119,120,121,122,123,124,125
25	2	3	7	127,128,129,130,131,132,133
26	2	4	7	135,136,137,138,139,140,141
27	2	5	7	118,143,144,145,146,147,148
28	2	6	7	126,150,151,152,153,154,155
29	2	7	7	134,157,158,159,160,161,162
30	2	8	7	142,164,165,166,167,168,169
31	2	9	7	149,171,172,173,174,175,176
32	2	10	7	156,178,179,180,181,182,183
33	2	11	7	163,185,186,187,188,189,190
34	2	12	7	170,192,193,194,195,196,197
35	2	13	7	177,199,200,201,202,203,204
36	2	14	7	184,206,207,208,209,210,211
37	2	15	7	191,213,214,215,216,217,218
38	2	16	7	198,220,221,222,223,224,225
39	2	17	7	205,227,228,229,230,231,232
40	2	18	7	212,234,235,236,237,238,239
41	2	19	7	219,241,242,243,244,245,246
42	2	20	7	226,247,248,249,250,251,252
43	2	21	7	233,253,254,255,256,257,258
44	2	22	7	240,259,260,261,262,263,264
45	3	1	6	265,266,267,268,269,270
46	3	2	6	272,273,274,275,276,277
47	3	3	6	279,280,281,282,283,284
48	3	4	6	286,287,288,289,290,291
49	3	5	6	293,294,295,296,297,298
50	3	6	6	300,301,302,303,304,305
51	3	7	6	271,307,308,309,310,311
52	3	8	6	278,313,314,315,316,317
53	3	9	6	285,319,320,321,322,323
54	3	10	6	292,325,326,327,328,329
55	3	11	6	299,331,332,333,334,335
56	3	12	6	306,337,338,339,340,341
57	3	13	6	312,343,344,345,346,347
58	3	14	6	318,349,350,351,352,353
59	3	15	6	324,355,356,357,358,359
60	3	16	6	330,360,361,362,363,364
61	3	17	6	336,365,366,367,368,369
62	3	18	6	342,370,371,372,373,374
63	3	19	6	348,375,376,377,378,379
64	3	20	6	354,380,381,382,383,384
65	4	1	2	385,386
66	4	2	2	387,388
67	4	3	2	389,390
68	4	4	2	391,392
69	4	5	2	393,394
70	4	6	2	395,396
71	4	7	2	397,398
72	4	8	2	399,400
73	4	9	2	401,402
74	4	10	2	403,404
75	4	11	2	405,406
76	4	12	2	407,408
77	4	13	2	409,410
78	4	14	2	411,412
79	4	15	2	413,414
80	4	16	2	415,416
81	4	17	2	417,418
82	4	18	2	419,420
83	4	19	2	421,422
84	4	20	2	423,424
85	4	21	2	425,426
86	4	22	2	427,428
87	4	23	2	429,430
88	4	24	2	431,432
89	4	25	2	433,434
90	5	1	6	435,436,437,438,439,440
91	5	2	6	442,443,444,445,446,447
92	5	3	6	449,450,451,452,453,454
93	5	4	6	456,457,458,459,460,461
94	5	5	6	463,464,465,466,467,468
95	5	6	6	470,471,472,473,474,475
96	5	7	6	441,477,478,479,480,481
97	5	8	6	448,483,484,485,486,487
98	5	9	6	455,489,490,491,492,493
99	5	10	6	462,495,496,497,498,499
100	5	11	6	469,501,502,503,504,505
101	5	12	6	476,507,508,509,510,511
102	5	13	6	482,513,514,515,516,517
103	5	14	6	488,519,520,521,522,523
104	5	15	6	494,525,526,527,528,529
105	5	16	6	500,530,531,532,533,534
106	5	17	6	506,535,536,537,538,539
107	5	18	6	512,540,541,542,543,544
108	5	19	6	518,545,546,547,548,549
109	5	20	6	524,550,551,552,553,554
110	6	1	4	555,556,557,558
111	6	2	4	560,561,562,563
112	6	3	4	559,565,566,567
113	6	4	4	564,569,570,571
114	6	5	4	568,573,574,575
115	6	6	4	572,577,578,579
116	6	7	4	576,581,582,583
117	6	8	4	580,585,586,587
118	6	9	4	584,589,590,591
119	6	10	4	588,593,594,595
120	6	11	4	592,597,598,599
121	6	12	4	596,601,602,603
122	6	13	4	600,605,606,607
123	6	14	4	604,609,610,611
124	6	15	4	608,613,614,615
125	6	16	4	612,617,618,619
126	6	17	4	616,621,622,623
127	6	18	4	620,625,626,627
128	6	19	4	624,629,630,631
129	6	20	4	628,633,634,635
130	6	21	4	632,637,638,639
131	6	22	4	636,641,642,643
132	6	23	4	640,645,646,647
133	6	24	4	644,648,649,650
134	7	1	6	651,652,653,654,655,656
135	7	2	6	658,659,660,661,662,663
136	7	3	6	665,666,667,668,669,670
137	7	4	6	672,673,674,675,676,677
138	7	5	6	679,680,681,682,683,684
139	7	6	6	686,687,688,689,690,691
140	7	7	6	657,693,694,695,696,697
141	7	8	6	664,699,700,701,702,703
142	7	9	6	671,705,706,707,708,709
143	7	10	6	678,711,712,713,714,715
144	7	11	6	685,717,718,719,720,721
145	7	12	6	692,723,724,725,726,727
146	7	13	6	698,729,730,731,732,733
147	7	14	6	704,735,736,737,738,739
148	7	15	6	710,741,742,743,744,745
149	7	16	6	716,746,747,748,749,750
150	7	17	6	722,751,752,753,754,755
151	7	18	6	728,756,757,758,759,760
152	7	19	6	734,761,762,763,764,765
153	7	20	6	740,766,767,768,769,770
154	8	1	6	771,772,773,774,775,776
155	8	2	6	778,779,780,781,782,783
156	8	3	6	785,786,787,788,789,790
157	8	4	6	792,793,794,795,796,797
158	8	5	6	799,800,801,802,803,804
159	8	6	6	777,806,807,808,809,810
160	8	7	6	784,812,813,814,815,816
161	8	8	6	791,818,819,820,821,822
162	8	9	6	798,824,825,826,827,828
163	8	10	6	805,830,831,832,833,834
164	8	11	6	811,836,837,838,839,840
165	8	12	6	817,842,843,844,845,846
166	8	13	6	823,848,849,850,851,852
167	8	14	6	829,854,855,856,857,858
168	8	15	6	835,860,861,862,863,864
169	8	16	6	841,866,867,868,869,870
170	8	17	6	847,872,873,874,875,876
171	8	18	6	853,877,878,879,880,881
172	8	19	6	859,882,883,884,885,886
173	8	20	6	865,887,888,889,890,891
174	8	21	6	871,892,893,894,895,896
