RequestID	OriginPort	DestinationPort	W_i_Earlist	LatestDestinationTime
1	A1	A2	1	180
2	A1	A3	1	180
3	A1	A4	1	180
4	A1	A5	1	180
5	A1	A6	1	180
6	A1	A7	1	180
7	A1	A8	1	180
8	A1	A9	1	180
9	A1	A10	1	180
10	A1	A11	1	180
11	A1	B1	1	180
12	A1	B2	1	180
13	A1	B3	1	180
14	A1	B4	1	180
15	A1	B5	1	180
16	A1	B6	1	180
17	A1	B7	1	180
18	A1	C1	1	180
19	A1	C2	1	180
20	A1	C3	1	180
21	A1	D1	1	180
22	A1	D2	1	180
23	A1	D3	1	180
24	A1	D4	1	180
25	A1	D5	1	180
26	A1	E1	1	180
27	A1	E2	1	180
28	A1	E3	1	180
29	A2	A1	1	180
30	A2	A3	1	180
31	A2	A4	1	180
32	A2	A5	1	180
33	A2	A6	1	180
34	A2	A7	1	180
35	A2	A8	1	180
36	A2	A9	1	180
37	A2	A10	1	180
38	A2	A11	1	180
39	A2	B1	1	180
40	A2	B2	1	180
41	A2	B3	1	180
42	A2	B4	1	180
43	A2	B5	1	180
44	A2	B6	1	180
45	A2	B7	1	180
46	A2	C1	1	180
47	A2	C2	1	180
48	A2	C3	1	180
49	A2	D1	1	180
50	A2	D2	1	180
51	A2	D3	1	180
52	A2	D4	1	180
53	A2	D5	1	180
54	A2	E1	1	180
55	A2	E2	1	180
56	A2	E3	1	180
57	A3	A1	1	180
58	A3	A2	1	180
59	A3	A4	1	180
60	A3	A5	1	180
61	A3	A6	1	180
62	A3	A7	1	180
63	A3	A8	1	180
64	A3	A9	1	180
65	A3	A10	1	180
66	A3	A11	1	180
67	A3	B1	1	180
68	A3	B2	1	180
69	A3	B3	1	180
70	A3	B4	1	180
71	A3	B5	1	180
72	A3	B6	1	180
73	A3	B7	1	180
74	A3	C1	1	180
75	A3	C2	1	180
76	A3	C3	1	180
77	A3	D1	1	180
78	A3	D2	1	180
79	A3	D3	1	180
80	A3	D4	1	180
81	A3	D5	1	180
82	A3	E1	1	180
83	A3	E2	1	180
84	A3	E3	1	180
85	A4	A1	1	180
86	A4	A2	1	180
87	A4	A3	1	180
88	A4	A5	1	180
89	A4	A6	1	180
90	A4	A7	1	180
91	A4	A8	1	180
92	A4	A9	1	180
93	A4	A10	1	180
94	A4	A11	1	180
95	A4	B1	1	180
96	A4	B2	1	180
97	A4	B3	1	180
98	A4	B4	1	180
99	A4	B5	1	180
100	A4	B6	1	180
101	A4	B7	1	180
102	A4	C1	1	180
103	A4	C2	1	180
104	A4	C3	1	180
105	A4	D1	1	180
106	A4	D2	1	180
107	A4	D3	1	180
108	A4	D4	1	180
109	A4	D5	1	180
110	A4	E1	1	180
111	A4	E2	1	180
112	A4	E3	1	180
113	A5	A1	1	180
114	A5	A2	1	180
115	A5	A3	1	180
116	A5	A4	1	180
117	A5	A6	1	180
118	A5	A7	1	180
119	A5	A8	1	180
120	A5	A9	1	180
121	A5	A10	1	180
122	A5	A11	1	180
123	A5	B1	1	180
124	A5	B2	1	180
125	A5	B3	1	180
126	A5	B4	1	180
127	A5	B5	1	180
128	A5	B6	1	180
129	A5	B7	1	180
130	A5	C1	1	180
131	A5	C2	1	180
132	A5	C3	1	180
133	A5	D1	1	180
134	A5	D2	1	180
135	A5	D3	1	180
136	A5	D4	1	180
137	A5	D5	1	180
138	A5	E1	1	180
139	A5	E2	1	180
140	A5	E3	1	180
141	A6	A1	1	180
142	A6	A2	1	180
143	A6	A3	1	180
144	A6	A4	1	180
145	A6	A5	1	180
146	A6	A7	1	180
147	A6	A8	1	180
148	A6	A9	1	180
149	A6	A10	1	180
150	A6	A11	1	180
151	A6	B1	1	180
152	A6	B2	1	180
153	A6	B3	1	180
154	A6	B4	1	180
155	A6	B5	1	180
156	A6	B6	1	180
157	A6	B7	1	180
158	A6	C1	1	180
159	A6	C2	1	180
160	A6	C3	1	180
161	A6	D1	1	180
162	A6	D2	1	180
163	A6	D3	1	180
164	A6	D4	1	180
165	A6	D5	1	180
166	A6	E1	1	180
167	A6	E2	1	180
168	A6	E3	1	180
169	A7	A1	1	180
170	A7	A2	1	180
171	A7	A3	1	180
172	A7	A4	1	180
173	A7	A5	1	180
