RequestID	OriginPort	DestinationPort	W_i_Earlist	LatestDestinationTime
1	A1	A2	1	180
3	A1	A4	1	180
5	A1	A6	1	180
12	A1	B2	1	180
14	A1	B4	1	180
15	A1	B5	1	180
18	A1	C1	1	180
19	A1	C2	1	180
20	A1	C3	1	180
21	A1	D1	1	180
23	A1	D3	1	180
29	A2	A1	1	180
30	A2	A3	1	180
31	A2	A4	1	180
33	A2	A6	1	180
37	A2	A10	1	180
40	A2	B2	1	180
46	A2	C1	1	180
47	A2	C2	1	180
48	A2	C3	1	180
49	A2	D1	1	180
51	A2	D3	1	180
57	A3	A1	1	180
58	A3	A2	1	180
59	A3	A4	1	180
61	A3	A6	1	180
68	A3	B2	1	180
74	A3	C1	1	180
75	A3	C2	1	180
76	A3	C3	1	180
77	A3	D1	1	180
79	A3	D3	1	180
85	A4	A1	1	180
86	A4	A2	1	180
89	A4	A6	1	180
96	A4	B2	1	180
102	A4	C1	1	180
103	A4	C2	1	180
104	A4	C3	1	180
105	A4	D1	1	180
107	A4	D3	1	180
113	A5	A1	1	180
114	A5	A2	1	180
116	A5	A4	1	180
117	A5	A6	1	180
124	A5	B2	1	180
130	A5	C1	1	180
131	A5	C2	1	180
132	A5	C3	1	180
133	A5	D1	1	180
135	A5	D3	1	180
141	A6	A1	1	180
142	A6	A2	1	180
144	A6	A4	1	180
145	A6	A5	1	180
152	A6	B2	1	180
158	A6	C1	1	180
159	A6	C2	1	180
160	A6	C3	1	180
161	A6	D1	1	180
163	A6	D3	1	180
169	A7	A1	1	180
170	A7	A2	1	180
172	A7	A4	1	180
174	A7	A6	1	180
180	A7	B2	1	180
186	A7	C1	1	180
187	A7	C2	1	180
188	A7	C3	1	180
189	A7	D1	1	180
191	A7	D3	1	180
197	A8	A1	1	180
198	A8	A2	1	180
200	A8	A4	1	180
202	A8	A6	1	180
206	A8	A11	1	180
208	A8	B2	1	180
214	A8	C1	1	180
215	A8	C2	1	180
216	A8	C3	1	180
217	A8	D1	1	180
219	A8	D3	1	180
