RequestID	OriginPort	DestinationPort	subDestination
2	A1	A3	A2
4	A1	A5	A6
6	A1	A7	B2
8	A1	A9	A4
9	A1	A10	A2
10	A1	A11	A8
11	A1	B1	B2
13	A1	B3	B2
16	A1	B6	D3
17	A1	B7	D3
18	A1	C1	A4
19	A1	C2	A4
20	A1	C3	A4
22	A1	D2	D1
24	A1	D4	D3
25	A1	D5	D3
26	A1	E1	D3
27	A1	E2	D3
28	A1	E3	D3
32	A2	A5	A6
34	A2	A7	B2
36	A2	A9	A4
38	A2	A11	A8
39	A2	B1	B2
41	A2	B3	B2
42	A2	B4	A1
43	A2	B5	A1
44	A2	B6	D3
45	A2	B7	D3
46	A2	C1	A4
47	A2	C2	A4
48	A2	C3	A4
50	A2	D2	D1
52	A2	D4	D3
53	A2	D5	D3
54	A2	E1	D3
55	A2	E2	D3
56	A2	E3	D3
60	A3	A5	A6
62	A3	A7	B2
64	A3	A9	A4
65	A3	A10	A2
66	A3	A11	A8
67	A3	B1	B2
69	A3	B3	B2
70	A3	B4	A1
71	A3	B5	A1
72	A3	B6	D3
73	A3	B7	D3
74	A3	C1	A4
75	A3	C2	A4
76	A3	C3	A4
78	A3	D2	D1
80	A3	D4	D3
81	A3	D5	D3
82	A3	E1	D3
83	A3	E2	D3
84	A3	E3	D3
87	A4	A3	A2
88	A4	A5	A6
90	A4	A7	B2
93	A4	A10	A2
94	A4	A11	A8
95	A4	B1	B2
97	A4	B3	B2
98	A4	B4	A1
99	A4	B5	A1
100	A4	B6	D3
101	A4	B7	D3
106	A4	D2	D1
108	A4	D4	D3
109	A4	D5	D3
110	A4	E1	D3
111	A4	E2	D3
112	A4	E3	D3
115	A5	A3	A2
118	A5	A7	B2
120	A5	A9	A4
121	A5	A10	A2
122	A5	A11	A8
123	A5	B1	B2
125	A5	B3	B2
126	A5	B4	A1
127	A5	B5	A1
128	A5	B6	D3
129	A5	B7	D3
130	A5	C1	A4
131	A5	C2	A4
132	A5	C3	A4
134	A5	D2	D1
136	A5	D4	D3
137	A5	D5	D3
138	A5	E1	D3
139	A5	E2	D3
140	A5	E3	D3
143	A6	A3	A2
146	A6	A7	B2
148	A6	A9	A4
149	A6	A10	A2
150	A6	A11	A8
151	A6	B1	B2
153	A6	B3	B2
154	A6	B4	A1
155	A6	B5	A1
156	A6	B6	D3
157	A6	B7	D3
158	A6	C1	A4
159	A6	C2	A4
160	A6	C3	A4
162	A6	D2	D1
164	A6	D4	D3
165	A6	D5	D3
166	A6	E1	D3
167	A6	E2	D3
168	A6	E3	D3
171	A7	A3	A2
173	A7	A5	A6
176	A7	A9	A4
177	A7	A10	A2
178	A7	A11	A8
179	A7	B1	B2
181	A7	B3	B2
182	A7	B4	A1
183	A7	B5	A1
184	A7	B6	D3
185	A7	B7	D3
186	A7	C1	A4
187	A7	C2	A4
188	A7	C3	A4
190	A7	D2	D1
192	A7	D4	D3
193	A7	D5	D3
194	A7	E1	D3
195	A7	E2	D3
196	A7	E3	D3
199	A8	A3	A2
201	A8	A5	A6
203	A8	A7	B2
204	A8	A9	A4
205	A8	A10	A2
207	A8	B1	B2
209	A8	B3	B2
210	A8	B4	A1
211	A8	B5	A1
212	A8	B6	D3
213	A8	B7	D3
214	A8	C1	A4
215	A8	C2	A4
216	A8	C3	A4
218	A8	D2	D1
220	A8	D4	D3
221	A8	D5	D3
222	A8	E1	D3
