RequestID	OriginPort	OriginTime	DestinationPort	RoundTrip	W_i_Earlist	ArrivalTime_to_Destination	PathTime	TransshipPort	TransshipTime	Port_Path	PathID	ArcIDs
1	A1	6	A2	1	1	10	4	0	0	43	A1,A2	556
1	A1	13	A2	1	1	17	4	0	0	44	A1,A2	561
2	A1	13	A2	2	8	17	4	0	0	44	A1,A2	561
2	A1	20	A2	2	8	24	4	0	0	45	A1,A2	565
3	A1	20	A2	3	15	24	4	0	0	45	A1,A2	565
3	A1	27	A2	3	15	31	4	0	0	46	A1,A2	569
4	A1	27	A2	4	22	31	4	0	0	46	A1,A2	569
4	A1	34	A2	4	22	38	4	0	0	47	A1,A2	573
5	A1	34	A2	5	29	38	4	0	0	47	A1,A2	573
5	A1	41	A2	5	29	45	4	0	0	48	A1,A2	577
6	A1	41	A2	6	36	45	4	0	0	48	A1,A2	577
6	A1	48	A2	6	36	52	4	0	0	49	A1,A2	581
7	A1	48	A2	7	43	52	4	0	0	49	A1,A2	581
7	A1	55	A2	7	43	59	4	0	0	50	A1,A2	585
8	A1	55	A2	8	50	59	4	0	0	50	A1,A2	585
8	A1	62	A2	8	50	66	4	0	0	51	A1,A2	589
9	A1	62	A2	9	57	66	4	0	0	51	A1,A2	589
9	A1	69	A2	9	57	73	4	0	0	52	A1,A2	593
10	A1	69	A2	10	64	73	4	0	0	52	A1,A2	593
10	A1	76	A2	10	64	80	4	0	0	53	A1,A2	597
11	A1	76	A2	11	71	80	4	0	0	53	A1,A2	597
11	A1	83	A2	11	71	87	4	0	0	54	A1,A2	601
12	A1	83	A2	12	78	87	4	0	0	54	A1,A2	601
12	A1	90	A2	12	78	94	4	0	0	55	A1,A2	605
13	A1	90	A2	13	85	94	4	0	0	55	A1,A2	605
13	A1	97	A2	13	85	101	4	0	0	56	A1,A2	609
14	A1	97	A2	14	92	101	4	0	0	56	A1,A2	609
14	A1	104	A2	14	92	108	4	0	0	57	A1,A2	613
15	A1	104	A2	15	99	108	4	0	0	57	A1,A2	613
15	A1	111	A2	15	99	115	4	0	0	58	A1,A2	617
16	A1	111	A2	16	106	115	4	0	0	58	A1,A2	617
16	A1	118	A2	16	106	122	4	0	0	59	A1,A2	621
17	A1	118	A2	17	113	122	4	0	0	59	A1,A2	621
17	A1	125	A2	17	113	129	4	0	0	60	A1,A2	625
18	A1	125	A2	18	120	129	4	0	0	60	A1,A2	625
18	A1	132	A2	18	120	136	4	0	0	61	A1,A2	629
19	A1	132	A2	19	127	136	4	0	0	61	A1,A2	629
19	A1	139	A2	19	127	143	4	0	0	62	A1,A2	633
20	A1	139	A2	20	134	143	4	0	0	62	A1,A2	633
20	A1	146	A2	20	134	150	4	0	0	63	A1,A2	637
21	A1	146	A2	21	141	150	4	0	0	63	A1,A2	637
21	A1	153	A2	21	141	157	4	0	0	64	A1,A2	641
22	A1	153	A2	22	148	157	4	0	0	64	A1,A2	641
22	A1	160	A2	22	148	164	4	0	0	65	A1,A2	645
23	A1	160	A2	23	155	164	4	0	0	65	A1,A2	645
23	A1	167	A2	23	155	171	4	0	0	66	A1,A2	648
24	A1	167	A2	24	162	171	4	0	0	66	A1,A2	648
27	A1	6	A3	1	1	19	13	0	0	67	A1,A2,A10,A3	556,557,558
27	A1	13	A3	1	1	26	13	0	0	68	A1,A2,A10,A3	561,562,563
28	A1	13	A3	2	8	26	13	0	0	68	A1,A2,A10,A3	561,562,563
28	A1	20	A3	2	8	33	13	0	0	69	A1,A2,A10,A3	565,566,567
29	A1	20	A3	3	15	33	13	0	0	69	A1,A2,A10,A3	565,566,567
29	A1	27	A3	3	15	40	13	0	0	70	A1,A2,A10,A3	569,570,571
30	A1	27	A3	4	22	40	13	0	0	70	A1,A2,A10,A3	569,570,571
30	A1	34	A3	4	22	47	13	0	0	71	A1,A2,A10,A3	573,574,575
31	A1	34	A3	5	29	47	13	0	0	71	A1,A2,A10,A3	573,574,575
31	A1	41	A3	5	29	54	13	0	0	72	A1,A2,A10,A3	577,578,579
32	A1	41	A3	6	36	54	13	0	0	72	A1,A2,A10,A3	577,578,579
32	A1	48	A3	6	36	61	13	0	0	73	A1,A2,A10,A3	581,582,583
33	A1	48	A3	7	43	61	13	0	0	73	A1,A2,A10,A3	581,582,583
33	A1	55	A3	7	43	68	13	0	0	74	A1,A2,A10,A3	585,586,587
34	A1	55	A3	8	50	68	13	0	0	74	A1,A2,A10,A3	585,586,587
34	A1	62	A3	8	50	75	13	0	0	75	A1,A2,A10,A3	589,590,591
35	A1	62	A3	9	57	75	13	0	0	75	A1,A2,A10,A3	589,590,591
35	A1	69	A3	9	57	82	13	0	0	76	A1,A2,A10,A3	593,594,595
36	A1	69	A3	10	64	82	13	0	0	76	A1,A2,A10,A3	593,594,595
36	A1	76	A3	10	64	89	13	0	0	77	A1,A2,A10,A3	597,598,599
37	A1	76	A3	11	71	89	13	0	0	77	A1,A2,A10,A3	597,598,599
37	A1	83	A3	11	71	96	13	0	0	78	A1,A2,A10,A3	601,602,603
38	A1	83	A3	12	78	96	13	0	0	78	A1,A2,A10,A3	601,602,603
38	A1	90	A3	12	78	103	13	0	0	79	A1,A2,A10,A3	605,606,607
39	A1	90	A3	13	85	103	13	0	0	79	A1,A2,A10,A3	605,606,607
39	A1	97	A3	13	85	110	13	0	0	80	A1,A2,A10,A3	609,610,611
40	A1	97	A3	14	92	110	13	0	0	80	A1,A2,A10,A3	609,610,611
40	A1	104	A3	14	92	117	13	0	0	81	A1,A2,A10,A3	613,614,615
41	A1	104	A3	15	99	117	13	0	0	81	A1,A2,A10,A3	613,614,615
41	A1	111	A3	15	99	124	13	0	0	82	A1,A2,A10,A3	617,618,619
42	A1	111	A3	16	106	124	13	0	0	82	A1,A2,A10,A3	617,618,619
42	A1	118	A3	16	106	131	13	0	0	83	A1,A2,A10,A3	621,622,623
43	A1	118	A3	17	113	131	13	0	0	83	A1,A2,A10,A3	621,622,623
43	A1	125	A3	17	113	138	13	0	0	84	A1,A2,A10,A3	625,626,627
44	A1	125	A3	18	120	138	13	0	0	84	A1,A2,A10,A3	625,626,627
44	A1	132	A3	18	120	145	13	0	0	85	A1,A2,A10,A3	629,630,631
45	A1	132	A3	19	127	145	13	0	0	85	A1,A2,A10,A3	629,630,631
45	A1	139	A3	19	127	152	13	0	0	86	A1,A2,A10,A3	633,634,635
46	A1	139	A3	20	134	152	13	0	0	86	A1,A2,A10,A3	633,634,635
46	A1	146	A3	20	134	159	13	0	0	87	A1,A2,A10,A3	637,638,639
47	A1	146	A3	21	141	159	13	0	0	87	A1,A2,A10,A3	637,638,639
47	A1	153	A3	21	141	166	13	0	0	88	A1,A2,A10,A3	641,642,643
48	A1	153	A3	22	148	166	13	0	0	88	A1,A2,A10,A3	641,642,643
48	A1	160	A3	22	148	173	13	0	0	89	A1,A2,A10,A3	645,646,647
49	A1	160	A3	23	155	173	13	0	0	89	A1,A2,A10,A3	645,646,647
49	A1	167	A3	23	155	180	13	0	0	90	A1,A2,A10,A3	648,649,650
50	A1	167	A3	24	162	180	13	0	0	90	A1,A2,A10,A3	648,649,650
53	A1	10	A4	1	1	46	36	B2	0	91	A1,B2,B1,A7,A4	267,1143,655,656,657
54	A1	10	A4	2	8	46	36	B2	0	91	A1,B2,B1,A7,A4	267,1143,655,656,657
54	A1	10	A4	2	8	53	43	B2	7	92	A1,B2,B1,A7,A4	267,1144,662,663,664
54	A1	17	A4	2	8	53	36	B2	0	93	A1,B2,B1,A7,A4	274,1161,662,663,664
55	A1	17	A4	3	15	53	36	B2	0	93	A1,B2,B1,A7,A4	274,1161,662,663,664
55	A1	17	A4	3	15	60	43	B2	7	94	A1,B2,B1,A7,A4	274,1162,669,670,671
55	A1	24	A4	3	15	60	36	B2	0	95	A1,B2,B1,A7,A4	281,1179,669,670,671
56	A1	24	A4	4	22	60	36	B2	0	95	A1,B2,B1,A7,A4	281,1179,669,670,671
56	A1	24	A4	4	22	67	43	B2	7	96	A1,B2,B1,A7,A4	281,1180,676,677,678
56	A1	31	A4	4	22	67	36	B2	0	97	A1,B2,B1,A7,A4	288,1197,676,677,678
57	A1	31	A4	5	29	67	36	B2	0	97	A1,B2,B1,A7,A4	288,1197,676,677,678
57	A1	31	A4	5	29	74	43	B2	7	98	A1,B2,B1,A7,A4	288,1198,683,684,685
57	A1	38	A4	5	29	74	36	B2	0	99	A1,B2,B1,A7,A4	295,1215,683,684,685
58	A1	38	A4	6	36	74	36	B2	0	99	A1,B2,B1,A7,A4	295,1215,683,684,685
58	A1	38	A4	6	36	81	43	B2	7	100	A1,B2,B1,A7,A4	295,1216,690,691,692
58	A1	45	A4	6	36	81	36	B2	0	101	A1,B2,B1,A7,A4	302,1233,690,691,692
59	A1	45	A4	7	43	81	36	B2	0	101	A1,B2,B1,A7,A4	302,1233,690,691,692
59	A1	45	A4	7	43	88	43	B2	7	102	A1,B2,B1,A7,A4	302,1234,696,697,698
59	A1	52	A4	7	43	88	36	B2	0	103	A1,B2,B1,A7,A4	308,1249,696,697,698
60	A1	52	A4	8	50	88	36	B2	0	103	A1,B2,B1,A7,A4	308,1249,696,697,698
60	A1	52	A4	8	50	95	43	B2	7	104	A1,B2,B1,A7,A4	308,1250,702,703,704
60	A1	59	A4	8	50	95	36	B2	0	105	A1,B2,B1,A7,A4	314,1265,702,703,704
61	A1	59	A4	9	57	95	36	B2	0	105	A1,B2,B1,A7,A4	314,1265,702,703,704
61	A1	59	A4	9	57	102	43	B2	7	106	A1,B2,B1,A7,A4	314,1266,708,709,710
61	A1	66	A4	9	57	102	36	B2	0	107	A1,B2,B1,A7,A4	320,1281,708,709,710
62	A1	66	A4	10	64	102	36	B2	0	107	A1,B2,B1,A7,A4	320,1281,708,709,710
62	A1	66	A4	10	64	109	43	B2	7	108	A1,B2,B1,A7,A4	320,1282,714,715,716
62	A1	73	A4	10	64	109	36	B2	0	109	A1,B2,B1,A7,A4	326,1297,714,715,716
63	A1	73	A4	11	71	109	36	B2	0	109	A1,B2,B1,A7,A4	326,1297,714,715,716
63	A1	73	A4	11	71	116	43	B2	7	110	A1,B2,B1,A7,A4	326,1298,720,721,722
63	A1	80	A4	11	71	116	36	B2	0	111	A1,B2,B1,A7,A4	332,1313,720,721,722
64	A1	80	A4	12	78	116	36	B2	0	111	A1,B2,B1,A7,A4	332,1313,720,721,722
64	A1	80	A4	12	78	123	43	B2	7	112	A1,B2,B1,A7,A4	332,1314,726,727,728
64	A1	87	A4	12	78	123	36	B2	0	113	A1,B2,B1,A7,A4	338,1329,726,727,728
65	A1	87	A4	13	85	123	36	B2	0	113	A1,B2,B1,A7,A4	338,1329,726,727,728
65	A1	87	A4	13	85	130	43	B2	7	114	A1,B2,B1,A7,A4	338,1330,732,733,734
65	A1	94	A4	13	85	130	36	B2	0	115	A1,B2,B1,A7,A4	344,1345,732,733,734
66	A1	94	A4	14	92	130	36	B2	0	115	A1,B2,B1,A7,A4	344,1345,732,733,734
66	A1	94	A4	14	92	137	43	B2	7	116	A1,B2,B1,A7,A4	344,1346,738,739,740
