Path ID,OriginPort,OriginTime,DestinationPort,DestinationTime,PathTime,TransshipPort,TransshipTime,PortPath_length,PortPath,Arcs_length,Arcs_ID
1,A1,6,A10,13,7,0,0,3,"A1,A2,A10",2,"556,557"
2,A1,13,A10,20,7,0,0,3,"A1,A2,A10",2,"561,562"
3,A1,20,A10,27,7,0,0,3,"A1,A2,A10",2,"565,566"
4,A1,27,A10,34,7,0,0,3,"A1,A2,A10",2,"569,570"
5,A1,34,A10,41,7,0,0,3,"A1,A2,A10",2,"573,574"
6,A1,41,A10,48,7,0,0,3,"A1,A2,A10",2,"577,578"
7,A1,48,A10,55,7,0,0,3,"A1,A2,A10",2,"581,582"
8,A1,55,A10,62,7,0,0,3,"A1,A2,A10",2,"585,586"
9,A1,62,A10,69,7,0,0,3,"A1,A2,A10",2,"589,590"
10,A1,69,A10,76,7,0,0,3,"A1,A2,A10",2,"593,594"
11,A1,76,A10,83,7,0,0,3,"A1,A2,A10",2,"597,598"
12,A1,83,A10,90,7,0,0,3,"A1,A2,A10",2,"601,602"
13,A1,90,A10,97,7,0,0,3,"A1,A2,A10",2,"605,606"
14,A1,97,A10,104,7,0,0,3,"A1,A2,A10",2,"609,610"
15,A1,104,A10,111,7,0,0,3,"A1,A2,A10",2,"613,614"
16,A1,111,A10,118,7,0,0,3,"A1,A2,A10",2,"617,618"
17,A1,118,A10,125,7,0,0,3,"A1,A2,A10",2,"621,622"
18,A1,125,A10,132,7,0,0,3,"A1,A2,A10",2,"625,626"
19,A1,132,A10,139,7,0,0,3,"A1,A2,A10",2,"629,630"
20,A1,139,A10,146,7,0,0,3,"A1,A2,A10",2,"633,634"
21,A1,146,A10,153,7,0,0,3,"A1,A2,A10",2,"637,638"
22,A1,153,A10,160,7,0,0,3,"A1,A2,A10",2,"641,642"
23,A1,160,A10,167,7,0,0,3,"A1,A2,A10",2,"645,646"
24,A1,167,A10,174,7,0,0,3,"A1,A2,A10",2,"648,649"
25,A1,10,A11,53,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"267,268,269,270,1149,399"
26,A1,17,A11,60,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"274,275,276,277,1167,401"
27,A1,24,A11,67,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"281,282,283,284,1185,403"
28,A1,31,A11,74,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"288,289,290,291,1203,405"
29,A1,38,A11,81,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"295,296,297,298,1221,407"
30,A1,45,A11,88,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"302,303,304,305,1239,409"
31,A1,52,A11,95,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"308,309,310,311,1255,411"
32,A1,59,A11,102,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"314,315,316,317,1271,413"
33,A1,66,A11,109,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"320,321,322,323,1287,415"
34,A1,73,A11,116,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"326,327,328,329,1303,417"
35,A1,80,A11,123,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"332,333,334,335,1319,419"
36,A1,87,A11,130,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"338,339,340,341,1335,421"
37,A1,94,A11,137,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"344,345,346,347,1351,423"
38,A1,101,A11,144,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"350,351,352,353,1367,425"
39,A1,108,A11,151,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"356,357,358,359,1383,427"
40,A1,115,A11,158,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"361,362,363,364,1399,429"
41,A1,122,A11,165,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"366,367,368,369,1414,431"
42,A1,129,A11,172,43,A8,3,6,"A1,B2,B3,D1,A8,A11",6,"371,372,373,374,1427,433"
43,A1,6,A2,10,4,0,0,2,"A1,A2",1,556
44,A1,13,A2,17,4,0,0,2,"A1,A2",1,561
45,A1,20,A2,24,4,0,0,2,"A1,A2",1,565
46,A1,27,A2,31,4,0,0,2,"A1,A2",1,569
47,A1,34,A2,38,4,0,0,2,"A1,A2",1,573
48,A1,41,A2,45,4,0,0,2,"A1,A2",1,577
49,A1,48,A2,52,4,0,0,2,"A1,A2",1,581
50,A1,55,A2,59,4,0,0,2,"A1,A2",1,585
51,A1,62,A2,66,4,0,0,2,"A1,A2",1,589
52,A1,69,A2,73,4,0,0,2,"A1,A2",1,593
53,A1,76,A2,80,4,0,0,2,"A1,A2",1,597
54,A1,83,A2,87,4,0,0,2,"A1,A2",1,601
55,A1,90,A2,94,4,0,0,2,"A1,A2",1,605
56,A1,97,A2,101,4,0,0,2,"A1,A2",1,609
57,A1,104,A2,108,4,0,0,2,"A1,A2",1,613
58,A1,111,A2,115,4,0,0,2,"A1,A2",1,617
59,A1,118,A2,122,4,0,0,2,"A1,A2",1,621
60,A1,125,A2,129,4,0,0,2,"A1,A2",1,625
61,A1,132,A2,136,4,0,0,2,"A1,A2",1,629
62,A1,139,A2,143,4,0,0,2,"A1,A2",1,633
63,A1,146,A2,150,4,0,0,2,"A1,A2",1,637
64,A1,153,A2,157,4,0,0,2,"A1,A2",1,641
65,A1,160,A2,164,4,0,0,2,"A1,A2",1,645
66,A1,167,A2,171,4,0,0,2,"A1,A2",1,648
67,A1,6,A3,19,13,0,0,4,"A1,A2,A10,A3",3,"556,557,558"
68,A1,13,A3,26,13,0,0,4,"A1,A2,A10,A3",3,"561,562,563"
69,A1,20,A3,33,13,0,0,4,"A1,A2,A10,A3",3,"565,566,567"
