VesselID	Capacity	OperatingCost	RouteID	maxNum
1	5500	5.375	1	1
2	5750	5.438	1	2
3	6000	5.500	1	2
4	6250	5.563	1	2
5	6500	5.625	1	2
6	4500	4.125	2	2
7	4750	4.188	2	2
8	5000	4.250	2	2
9	5250	4.313	2	2
10	5500	4.375	2	1
11	11000	8.750	3	2
12	11250	8.813	3	2
13	11500	8.875	3	1
14	11750	8.938	3	1
15	12000	9.000	3	2
16	2500	1.625	4	1
17	3750	1.938	4	2
18	3000	1.750	4	1
19	3250	1.813	4	2
20	3500	1.875	4	2
21	13000	9.250	5	1
22	13250	9.313	5	2
23	13500	9.375	5	1
24	13750	9.438	5	2
25	14000	9.500	5	2
26	6500	3.625	6	1
27	6750	3.688	6	1
28	7000	3.750	6	1
29	7250	3.813	6	2
30	7500	3.875	6	1
31	10000	8.500	7	2
32	10250	8.563	7	2
33	10500	8.625	7	2
34	10750	8.688	7	2
35	11000	8.750	7	1
36	6500	6.625	8	1
37	6750	6.688	8	2
38	7000	6.750	8	1
39	7250	6.813	8	1
40	7500	6.875	8	1
