VesselID	Capacity	OperatingCost	RouteID	maxNum
1	5000	5.256	1	1
2	5500	5.382	1	1
3	6000	5.509	1	1
4	6500	5.626	1	1
5	7000	5.756	1	1
6	4000	4.005	2	1
7	4500	4.134	2	1
8	5000	4.255	2	1
9	5500	4.380	2	1
10	6000	4.509	2	1
11	10500	8.630	3	1
12	11000	8.756	3	1
13	11500	8.882	3	1
14	12000	9.000	3	1
15	12500	9.128	3	1
16	2000	1.507	4	1
17	2500	1.635	4	1
18	3000	1.750	4	1
19	3500	1.879	4	1
20	4000	2.008	4	1
21	12500	9.130	5	1
22	13000	9.252	5	1
23	13500	9.376	5	1
24	14000	9.510	5	1
25	14500	9.633	5	1
26	6000	3.505	6	1
27	6500	3.626	6	1
28	7000	3.760	6	1
29	7500	3.880	6	1
30	8000	4.009	6	1
31	9500	8.376	7	1
32	10000	8.501	7	1
33	10500	8.631	7	1
34	11000	8.759	7	1
35	11500	8.881	7	1
36	6000	6.502	8	1
37	6500	6.632	8	1
38	7000	6.750	8	1
39	7500	6.877	8	1
40	8000	7.002	8	1
