PortID	Port	WhetherTrans	Region	Group
1	SINGAPORE	0	ASIA	1
2	SHEKOU	1	ASIA	1
3	HONG KONG	1	ASIA	1
4	KAOHSIUNG	1	ASIA	1
5	NINGBO	1	ASIA	1
6	SHANGHAI	1	ASIA	1
7	QINGDAO	0	ASIA	1
8	BUSAN(KOREA)	1	ASIA	1
9	MANZANILLO(MX)	1	AMERICA North	2
10	BALBOA	1	AMERICA South	3
11	MANZANILLO(PA)	0	AMERICA North	2
12	CARTAGENA(CO)	0	AMERICA South	3
13	KINGSTON	0	AMERICA North	2
14	CAUCEDO	0	AMERICA South	3
15	LAZARO CARDENAS	1	AMERICA North	2
16	BUENAVENTURA	1	AMERICA South	3
17	CALLAO	1	AMERICA South	3
18	POSORJA	0	AMERICA South	3
19	YOKOHAMA	0	ASIA	1
20	YANTIAN	0	ASIA	1
21	SAN ANTONIO	0	AMERICA South	3
