TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
557	SHEKOU	2	7	3	225	10	1	2
558	SHEKOU	2	7	10	241	17	1	2
559	HONG KONG	3	8	3	226	11	1	2
560	HONG KONG	3	8	10	242	18	1	2
561	HONG KONG	3	8	2	442	10	1	3
562	HONG KONG	3	8	9	453	17	1	3
563	KAOHSIUNG	4	10	3	227	13	1	2
564	KAOHSIUNG	4	10	10	243	20	1	2
565	KAOHSIUNG	4	10	3	444	13	1	3
566	KAOHSIUNG	4	10	10	455	20	1	3
567	NINGBO	5	12	3	228	15	1	2
568	NINGBO	5	12	10	244	22	1	2
569	NINGBO	5	12	4	446	16	1	3
570	NINGBO	5	12	11	457	23	1	3
571	SHANGHAI	6	13	4	229	17	1	2
572	SHANGHAI	6	13	11	245	24	1	2
573	SHANGHAI	6	13	2	445	15	1	3
574	SHANGHAI	6	13	9	456	22	1	3
575	BUSAN(KOREA)	8	18	3	230	21	1	2
576	BUSAN(KOREA)	8	18	10	246	28	1	2
577	MANZANILLO(MX)	9	42	6	247	48	1	2
578	MANZANILLO(MX)	9	42	13	263	55	1	2
579	MANZANILLO(MX)	9	42	4	458	46	1	3
580	MANZANILLO(MX)	9	42	11	469	53	1	3
581	BALBOA	10	47	6	459	53	1	3
582	BALBOA	10	47	13	470	60	1	3
583	SHEKOU	17	14	3	241	17	1	2
584	SHEKOU	17	14	10	257	24	1	2
585	HONG KONG	18	15	3	242	18	1	2
586	HONG KONG	18	15	10	258	25	1	2
587	HONG KONG	18	15	2	453	17	1	3
588	HONG KONG	18	15	9	464	24	1	3
589	KAOHSIUNG	19	17	3	243	20	1	2
590	KAOHSIUNG	19	17	10	259	27	1	2
591	KAOHSIUNG	19	17	3	455	20	1	3
592	KAOHSIUNG	19	17	10	466	27	1	3
593	NINGBO	20	19	3	244	22	1	2
594	NINGBO	20	19	10	260	29	1	2
595	NINGBO	20	19	4	457	23	1	3
596	NINGBO	20	19	11	468	30	1	3
597	SHANGHAI	21	20	4	245	24	1	2
598	SHANGHAI	21	20	11	261	31	1	2
599	SHANGHAI	21	20	2	456	22	1	3
600	SHANGHAI	21	20	9	467	29	1	3
601	BUSAN(KOREA)	23	25	3	246	28	1	2
602	BUSAN(KOREA)	23	25	10	262	35	1	2
603	MANZANILLO(MX)	24	49	6	263	55	1	2
604	MANZANILLO(MX)	24	49	13	279	62	1	2
605	MANZANILLO(MX)	24	49	4	469	53	1	3
606	MANZANILLO(MX)	24	49	11	480	60	1	3
607	BALBOA	25	54	6	470	60	1	3
608	BALBOA	25	54	13	481	67	1	3
609	SHEKOU	32	21	3	257	24	1	2
610	SHEKOU	32	21	10	273	31	1	2
611	HONG KONG	33	22	3	258	25	1	2
612	HONG KONG	33	22	10	274	32	1	2
613	HONG KONG	33	22	2	464	24	1	3
614	HONG KONG	33	22	9	475	31	1	3
