VesselID	Capacity	OperationCost	RouteID	MaxNum
1	10642	14.69	1	1
2	11388	14.877	1	1
3	15072	15.798	1	1
4	11040	14.79	1	1
5	11388	14.877	1	1
6	11040	14.79	1	1
7	11262	14.845	1	1
8	9572	14.423	1	1
9	9469	14.397	1	1
10	9572	14.423	1	1
11	10100	14.555	1	1
12	8749	14.217	1	1
13	13892	15.503	2	1
14	14402	15.63	2	1
15	10100	14.555	2	1
16	10100	14.555	2	1
17	10100	14.555	2	1
18	12917	15.259	2	1
19	10622	14.685	2	1
20	15536	15.914	2	1
21	1	12.03	2	1
22	13556	15.419	2	1
23	13556	15.419	2	1
24	1	12.03	2	1
25	1	11.03	3	1
26	8452	13.143	3	1
27	8452	13.143	3	1
28	8452	13.143	3	1
29	8452	13.143	3	1
30	8508	13.157	3	1
31	8508	13.157	3	1
32	8508	13.157	3	1
33	8063	13.046	3	1
34	5668	12.447	3	1
35	8236	13.089	3	1
